#Name (cmd = mergePeaks /workspace/gene_expression_predictions/results/homer_sae/nucleotide_transformer_late_blood/bg.clean.pos /workspace/gene_expression_predictions/results/homer_sae/nucleotide_transformer_late_blood/target.clean..pos -d 200 -cobound 1 -prefix /workspace/gene_expression_predictions/results/homer_sae/nucleotide_transformer_late_blood/0.275734507785277.2.tmp)	chr	start	end	strand	stat	stat2	/workspace/gene_expression_predictions/results/homer_sae/nucleotide_transformer_late_blood/target.clean..pos
BG730	chr13	35451586	35582657	+	0.000	0.000	37
BG735	chr13	37572621	37703692	+	0.000	0.000	38
BG736	chr13	37875626	38006697	+	0.000	0.000	39
BG754	chr13	51813856	51944927	+	0.000	0.000	40
BG755	chr13	52116861	52247932	+	0.000	0.000	41
BG764	chr13	66964106	67095177	+	0.000	0.000	42
BG767	chr13	70903171	71034242	+	0.000	0.000	43
BG789	chr13	91507511	91638582	+	0.000	0.000	44
BG798	chr13	103930716	104061787	+	0.000	0.000	45
BG803	chr13	107869781	108000852	+	0.000	0.000	46
BG808	chr13	110899831	111030902	+	0.000	0.000	47
BG815	chr14	24835177	24966248	+	0.000	0.000	48
BG826	chr14	36344161	36475232	+	0.000	0.000	49
BG930	chr15	39106996	39238067	+	0.000	0.000	50
BG944	chr15	57902606	58033677	+	0.000	0.000	51
BG957	chr15	70938271	71069342	+	0.000	0.000	52
BG979	chr15	95493826	95624897	+	0.000	0.000	53
BG981	chr15	96403291	96534362	+	0.000	0.000	54
BG988	chr16	8173117	8304188	+	0.000	0.000	55
BG1052	chr16	63265973	63397044	+	0.000	0.000	56
BG1134	chr17	40652921	40783992	+	0.000	0.000	57
BG1158	chr17	72811201	72942272	+	0.000	0.000	58
BG1171	chr18	7570001	7701072	+	0.000	0.000	59
BG1189	chr18	30280001	30411072	+	0.000	0.000	60
BG1209	chr18	51173201	51304272	+	0.000	0.000	61
BG1213	chr18	55412401	55543472	+	0.000	0.000	62
BG1216	chr18	56926401	57057472	+	0.000	0.000	63
BG1230	chr18	74791601	74922672	+	0.000	0.000	64
BG1261	chr19	30000862	30131933	+	0.000	0.000	65
BG1292	chr2	11209373	11340444	+	0.000	0.000	66
BG1314	chr2	32113337	32244408	+	0.000	0.000	67
BG1324	chr2	45443401	45574472	+	0.000	0.000	68
BG1336	chr2	56046861	56177932	+	0.000	0.000	69
BG1341	chr2	59076421	59207492	+	0.000	0.000	70
BG1353	chr2	70285793	70416864	+	0.000	0.000	71
BG1361	chr2	79980385	80111456	+	0.000	0.000	72
BG1363	chr2	83918813	84049884	+	0.000	0.000	73
BG1370	chr2	99672525	99803596	+	0.000	0.000	74
BG1381	chr2	108761205	108892276	+	0.000	0.000	75
BG1401	chr2	135724289	135855360	+	0.000	0.000	76
BG1409	chr2	142995233	143126304	+	0.000	0.000	77
BG1422	chr2	151478001	151609072	+	0.000	0.000	78
BG1425	chr2	155719385	155850456	+	0.000	0.000	79
BG1433	chr2	162384417	162515488	+	0.000	0.000	80
BG1437	chr2	164808065	164939136	+	0.000	0.000	81
BG1451	chr2	179046997	179178068	+	0.000	0.000	82
BG1453	chr2	179652909	179783980	+	0.000	0.000	83
BG1454	chr2	179955865	180086936	+	0.000	0.000	84
BG1469	chr2	195406621	195537692	+	0.000	0.000	85
BG1470	chr2	196618445	196749516	+	0.000	0.000	86
BG1476	chr2	201465741	201596812	+	0.000	0.000	87
BG1491	chr2	212978069	213109140	+	0.000	0.000	88
BG1494	chr2	217219453	217350524	+	0.000	0.000	89
BG1501	chr2	221460837	221591908	+	0.000	0.000	90
BG1502	chr2	222975617	223106688	+	0.000	0.000	91
BG1554	chr20	20932048	21063119	+	0.000	0.000	92
BG1593	chr21	14820541	14951612	+	0.000	0.000	93
BG1605	chr21	26918941	27050012	+	0.000	0.000	94
BG1607	chr21	29338621	29469692	+	0.000	0.000	95
BG1651	chr22	42795898	42926969	+	0.000	0.000	96
BG1661	chr3	5757058	5888129	+	0.000	0.000	97
BG1671	chr3	17574175	17705246	+	0.000	0.000	98
BG1693	chr3	43329430	43460501	+	0.000	0.000	99
BG1720	chr3	71205706	71336777	+	0.000	0.000	100
BG1731	chr3	85446847	85577918	+	0.000	0.000	101
BG1756	chr3	116959159	117090230	+	0.000	0.000	102
BG1776	chr3	142411411	142542482	+	0.000	0.000	103
BG1801	chr3	169378678	169509749	+	0.000	0.000	104
BG1826	chr3	193618918	193749989	+	0.000	0.000	105
BG1859	chr4	30619464	30750535	+	0.000	0.000	106
BG1860	chr4	30922627	31053698	+	0.000	0.000	107
BG1869	chr4	42442821	42573892	+	0.000	0.000	108
BG1885	chr4	60935764	61066835	+	0.000	0.000	109
BG1892	chr4	68818002	68949073	+	0.000	0.000	110
BG1893	chr4	69121165	69252236	+	0.000	0.000	111
BG1896	chr4	72759121	72890192	+	0.000	0.000	112
BG1904	chr4	77609729	77740800	+	0.000	0.000	113
BG1927	chr4	91555227	91686298	+	0.000	0.000	114
BG1942	chr4	96405835	96536906	+	0.000	0.000	115
BG1952	chr4	100953280	101084351	+	0.000	0.000	116
BG1953	chr4	101559606	101690677	+	0.000	0.000	117
BG1956	chr4	104591236	104722307	+	0.000	0.000	118
BG1963	chr4	110048170	110179241	+	0.000	0.000	119
BG1968	chr4	113686126	113817197	+	0.000	0.000	120
BG1972	chr4	118536734	118667805	+	0.000	0.000	121
BG1974	chr4	120052549	120183620	+	0.000	0.000	122
BG1975	chr4	120355712	120486783	+	0.000	0.000	123
BG1979	chr4	122174690	122305761	+	0.000	0.000	124
BG1980	chr4	122781016	122912087	+	0.000	0.000	125
BG1998	chr4	144002426	144133497	+	0.000	0.000	126
BG2003	chr4	147034056	147165127	+	0.000	0.000	127
BG2007	chr4	151581501	151712572	+	0.000	0.000	128
BG2016	chr4	157038435	157169506	+	0.000	0.000	129
BG2017	chr4	157341598	157472669	+	0.000	0.000	130
BG2048	chr5	7887257	8018328	+	0.000	0.000	131
BG2063	chr5	22144989	22276060	+	0.000	0.000	132
BG2076	chr5	39739637	39870708	+	0.000	0.000	133
BG2085	chr5	51267165	51398236	+	0.000	0.000	134
BG2094	chr5	57334285	57465356	+	0.000	0.000	135
BG2099	chr5	58851065	58982136	+	0.000	0.000	136
BG2124	chr5	77052425	77183496	+	0.000	0.000	137
BG2135	chr5	87669885	87800956	+	0.000	0.000	138
BG2146	chr5	104051109	104182180	+	0.000	0.000	139
BG2147	chr5	104354465	104485536	+	0.000	0.000	140
BG2148	chr5	105264533	105395604	+	0.000	0.000	141
BG2153	chr5	108904805	109035876	+	0.000	0.000	142
BG2158	chr5	114365213	114496284	+	0.000	0.000	143
BG2181	chr5	136510201	136641272	+	0.000	0.000	144
BG2182	chr5	137116913	137247984	+	0.000	0.000	145
BG2221	chr6	1818913	1949984	+	0.000	0.000	146
BG2270	chr6	51535841	51666912	+	0.000	0.000	147
BG2274	chr6	53961057	54092128	+	0.000	0.000	148
BG2284	chr6	58205185	58336256	+	0.000	0.000	149
BG2336	chr6	80335281	80466352	+	0.000	0.000	150
BG2343	chr6	84882561	85013632	+	0.000	0.000	151
BG2376	chr6	97918097	98049168	+	0.000	0.000	152
BG2383	chr6	100646465	100777536	+	0.000	0.000	153
BG2399	chr6	107315809	107446880	+	0.000	0.000	154
BG2408	chr6	112772545	112903616	+	0.000	0.000	155
BG2411	chr6	114288305	114419376	+	0.000	0.000	156
BG2413	chr6	117319825	117450896	+	0.000	0.000	157
BG2414	chr6	117622977	117754048	+	0.000	0.000	158
BG2418	chr6	121867105	121998176	+	0.000	0.000	159
BG2420	chr6	125201777	125332848	+	0.000	0.000	160
BG2440	chr6	139753073	139884144	+	0.000	0.000	161
BG2453	chr6	150666545	150797616	+	0.000	0.000	162
BG2463	chr6	158245345	158376416	+	0.000	0.000	163
BG2489	chr7	10311045	10442116	+	0.000	0.000	164
BG2501	chr7	15466567	15597638	+	0.000	0.000	165
BG2515	chr7	20622089	20753160	+	0.000	0.000	166
BG2526	chr7	28507005	28638076	+	0.000	0.000	167
BG2615	chr7	84611215	84742286	+	0.000	0.000	168
BG2643	chr7	107356165	107487236	+	0.000	0.000	169
BG2645	chr7	108265963	108397034	+	0.000	0.000	170
BG2657	chr7	117363943	117495014	+	0.000	0.000	171
BG2661	chr7	122519465	122650536	+	0.000	0.000	172
BG2663	chr7	123125997	123257068	+	0.000	0.000	173
BG2683	chr7	140715425	140846496	+	0.000	0.000	174
BG2698	chr7	154968927	155099998	+	0.000	0.000	175
BG2707	chr8	3033631	3164702	+	0.000	0.000	176
BG2712	chr8	9707617	9838688	+	0.000	0.000	177
BG2717	chr8	13651336	13782407	+	0.000	0.000	178
BG2755	chr8	51875074	52006145	+	0.000	0.000	179
BG2790	chr8	86458456	86589527	+	0.000	0.000	180
BG2797	chr8	93435805	93566876	+	0.000	0.000	181
BG2807	chr8	98289613	98420684	+	0.000	0.000	182
BG2811	chr8	99806428	99937499	+	0.000	0.000	183
BG2816	chr8	107087140	107218211	+	0.000	0.000	184
BG2864	chr9	3941718	4072789	+	0.000	0.000	185
BG2868	chr9	6973808	7104879	+	0.000	0.000	186
BG2888	chr9	20921422	21052493	+	0.000	0.000	187
BG2896	chr9	26682393	26813464	+	0.000	0.000	188
BG2900	chr9	28501647	28632718	+	0.000	0.000	189
BG2941	chr9	92478746	92609817	+	0.000	0.000	190
BG2945	chr9	95814045	95945116	+	0.000	0.000	191
BG2958	chr9	106426360	106557431	+	0.000	0.000	192
BG2982	chr9	120980392	121111463	+	0.000	0.000	193
BG2998	chrX	7127305	7258376	+	0.000	0.000	194
BG3009	chrX	21381913	21512984	+	0.000	0.000	195
BG3014	chrX	31775898	31906969	+	0.000	0.000	196
BG3018	chrX	38606231	38737302	+	0.000	0.000	197
BG3030	chrX	50188100	50319171	+	0.000	0.000	198
BG3058	chrX	100376199	100507270	+	0.000	0.000	199
BG3070	chrX	108691387	108822458	+	0.000	0.000	200
