#Name (cmd = mergePeaks /workspace/gene_expression_predictions/results/homer_sae/hyenadna_mid_blood/bg.clean.pos /workspace/gene_expression_predictions/results/homer_sae/hyenadna_mid_blood/target.clean..pos -d 200 -cobound 1 -prefix /workspace/gene_expression_predictions/results/homer_sae/hyenadna_mid_blood/0.977316748657362.2.tmp)	chr	start	end	strand	stat	stat2	/workspace/gene_expression_predictions/results/homer_sae/hyenadna_mid_blood/target.clean..pos
BG2004	chr4	147943545	148074616	+	0.000	0.000	131
BG2005	chr4	149156197	149287268	+	0.000	0.000	132
BG2007	chr4	151581501	151712572	+	0.000	0.000	133
BG2048	chr5	7887257	8018328	+	0.000	0.000	134
BG2057	chr5	14257733	14388804	+	0.000	0.000	135
BG2074	chr5	38829569	38960640	+	0.000	0.000	136
BG2078	chr5	41863129	41994200	+	0.000	0.000	137
BG2097	chr5	58244353	58375424	+	0.000	0.000	138
BG2111	chr5	66738321	66869392	+	0.000	0.000	139
BG2135	chr5	87669885	87800956	+	0.000	0.000	140
BG2146	chr5	104051109	104182180	+	0.000	0.000	141
BG2148	chr5	105264533	105395604	+	0.000	0.000	142
BG2153	chr5	108904805	109035876	+	0.000	0.000	143
BG2178	chr5	133779997	133911068	+	0.000	0.000	144
BG2180	chr5	136206845	136337916	+	0.000	0.000	145
BG2182	chr5	137116913	137247984	+	0.000	0.000	146
BG2188	chr5	142880677	143011748	+	0.000	0.000	147
BG2190	chr5	143790745	143921816	+	0.000	0.000	148
BG2200	chr5	158048477	158179548	+	0.000	0.000	149
BG2210	chr5	169879361	170010432	+	0.000	0.000	150
BG2215	chr5	177766617	177897688	+	0.000	0.000	151
BG2221	chr6	1818913	1949984	+	0.000	0.000	152
BG2223	chr6	6366193	6497264	+	0.000	0.000	153
BG2256	chr6	45472801	45603872	+	0.000	0.000	154
BG2275	chr6	54264209	54395280	+	0.000	0.000	155
BG2337	chr6	80638433	80769504	+	0.000	0.000	156
BG2359	chr6	92158209	92289280	+	0.000	0.000	157
BG2373	chr6	97008641	97139712	+	0.000	0.000	158
BG2394	chr6	104284289	104415360	+	0.000	0.000	159
BG2411	chr6	114288305	114419376	+	0.000	0.000	160
BG2421	chr6	126111233	126242304	+	0.000	0.000	161
BG2445	chr6	143087745	143218816	+	0.000	0.000	162
BG2450	chr6	147635025	147766096	+	0.000	0.000	163
BG2483	chr7	8491449	8622520	+	0.000	0.000	164
BG2512	chr7	19712291	19843362	+	0.000	0.000	165
BG2535	chr7	33662527	33793598	+	0.000	0.000	166
BG2546	chr7	39121315	39252386	+	0.000	0.000	167
BG2553	chr7	41850709	41981780	+	0.000	0.000	168
BG2624	chr7	91889599	92020670	+	0.000	0.000	169
BG2660	chr7	122216199	122347270	+	0.000	0.000	170
BG2686	chr7	141928489	142059560	+	0.000	0.000	171
BG2702	chr8	303364	434435	+	0.000	0.000	172
BG2728	chr8	20628685	20759756	+	0.000	0.000	173
BG2754	chr8	49144807	49275878	+	0.000	0.000	174
BG2797	chr8	93435805	93566876	+	0.000	0.000	175
BG2807	chr8	98289613	98420684	+	0.000	0.000	176
BG2816	chr8	107087140	107218211	+	0.000	0.000	177
BG2822	chr8	117704845	117835916	+	0.000	0.000	178
BG2829	chr8	120435112	120566183	+	0.000	0.000	179
BG2833	chr8	124075468	124206539	+	0.000	0.000	180
BG2840	chr8	132569632	132700703	+	0.000	0.000	181
BG2861	chr9	2425673	2556744	+	0.000	0.000	182
BG2868	chr9	6973808	7104879	+	0.000	0.000	183
BG2877	chr9	14857242	14988313	+	0.000	0.000	184
BG2880	chr9	16070078	16201149	+	0.000	0.000	185
BG2885	chr9	18192541	18323612	+	0.000	0.000	186
BG2891	chr9	22134258	22265329	+	0.000	0.000	187
BG2905	chr9	68525235	68656306	+	0.000	0.000	188
BG2912	chr9	72770161	72901232	+	0.000	0.000	189
BG2916	chr9	76711878	76842949	+	0.000	0.000	190
BG2952	chr9	101575016	101706087	+	0.000	0.000	191
BG2984	chr9	121890019	122021090	+	0.000	0.000	192
BG3012	chrX	29697101	29828172	+	0.000	0.000	193
BG3016	chrX	38012289	38143360	+	0.000	0.000	194
BG3018	chrX	38606231	38737302	+	0.000	0.000	195
BG3030	chrX	50188100	50319171	+	0.000	0.000	196
BG3033	chrX	52860839	52991910	+	0.000	0.000	197
BG3082	chrX	130370270	130501341	+	0.000	0.000	198
BG3088	chrX	136012719	136143790	+	0.000	0.000	199
BG3098	chrX	152643095	152774166	+	0.000	0.000	200
