#Name (cmd = mergePeaks /workspace/gene_expression_predictions/results/homer_sae/enformer_mid_lymph/bg.clean.pos /workspace/gene_expression_predictions/results/homer_sae/enformer_mid_lymph/target.clean..pos -d 200 -cobound 1 -prefix /workspace/gene_expression_predictions/results/homer_sae/enformer_mid_lymph/0.935258718048321.2.tmp)	chr	start	end	strand	stat	stat2	/workspace/gene_expression_predictions/results/homer_sae/enformer_mid_lymph/target.clean..pos
BG644	chr18	55412401	55543472	+	0.000	0.000	61
BG645	chr18	55715201	55846272	+	0.000	0.000	62
BG646	chr18	56320801	56451872	+	0.000	0.000	63
BG652	chr18	72974801	73105872	+	0.000	0.000	64
BG654	chr18	73580401	73711472	+	0.000	0.000	65
BG655	chr18	73883201	74014272	+	0.000	0.000	66
BG656	chr19	20000575	20131646	+	0.000	0.000	67
BG657	chr19	20606653	20737724	+	0.000	0.000	68
BG658	chr19	21515770	21646841	+	0.000	0.000	69
BG659	chr19	21818809	21949880	+	0.000	0.000	70
BG660	chr19	23030965	23162036	+	0.000	0.000	71
BG662	chr19	28485667	28616738	+	0.000	0.000	72
BG666	chr19	40910266	41041337	+	0.000	0.000	73
BG667	chr19	53940943	54072014	+	0.000	0.000	74
BG668	chr19	55759177	55890248	+	0.000	0.000	75
BG669	chr19	56668294	56799365	+	0.000	0.000	76
BG670	chr2	1	131072	+	0.000	0.000	77
BG671	chr2	302957	434028	+	0.000	0.000	78
BG672	chr2	908869	1039940	+	0.000	0.000	79
BG685	chr2	20903965	21035036	+	0.000	0.000	80
BG691	chr2	32416293	32547364	+	0.000	0.000	81
BG692	chr2	33022205	33153276	+	0.000	0.000	82
BG693	chr2	33325161	33456232	+	0.000	0.000	83
BG696	chr2	36354721	36485792	+	0.000	0.000	84
BG699	chr2	40293149	40424220	+	0.000	0.000	85
BG722	chr2	78162649	78293720	+	0.000	0.000	86
BG729	chr2	99672525	99803596	+	0.000	0.000	87
BG730	chr2	101490261	101621332	+	0.000	0.000	88
BG733	chr2	106337557	106468628	+	0.000	0.000	89
BG734	chr2	106640513	106771584	+	0.000	0.000	90
BG738	chr2	121182401	121313472	+	0.000	0.000	91
BG755	chr2	142086365	142217436	+	0.000	0.000	92
BG757	chr2	142995233	143126304	+	0.000	0.000	93
BG758	chr2	143298189	143429260	+	0.000	0.000	94
BG761	chr2	144812969	144944040	+	0.000	0.000	95
BG767	chr2	151478001	151609072	+	0.000	0.000	96
BG771	chr2	156022341	156153412	+	0.000	0.000	97
BG773	chr2	157537121	157668192	+	0.000	0.000	98
BG774	chr2	158748945	158880016	+	0.000	0.000	99
BG778	chr2	163293285	163424356	+	0.000	0.000	100
BG781	chr2	164808065	164939136	+	0.000	0.000	101
BG782	chr2	165111021	165242092	+	0.000	0.000	102
BG784	chr2	166322845	166453916	+	0.000	0.000	103
BG795	chr2	179349953	179481024	+	0.000	0.000	104
BG806	chr2	192074105	192205176	+	0.000	0.000	105
BG807	chr2	193285929	193417000	+	0.000	0.000	106
BG812	chr2	201465741	201596812	+	0.000	0.000	107
BG829	chr2	226308133	226439204	+	0.000	0.000	108
BG832	chr2	232064297	232195368	+	0.000	0.000	109
BG848	chr20	15168151	15299222	+	0.000	0.000	110
BG849	chr20	15471514	15602585	+	0.000	0.000	111
BG1152	chr4	178563008	178694079	+	0.000	0.000	112
BG1153	chr4	179169334	179300405	+	0.000	0.000	113
BG1154	chr4	180078823	180209894	+	0.000	0.000	114
BG1170	chr5	20628209	20759280	+	0.000	0.000	115
BG1171	chr5	20931565	21062636	+	0.000	0.000	116
BG1173	chr5	22751701	22882772	+	0.000	0.000	117
BG1174	chr5	23358413	23489484	+	0.000	0.000	118
BG1175	chr5	23965125	24096196	+	0.000	0.000	119
BG1203	chr5	81602765	81733836	+	0.000	0.000	120
BG1206	chr5	84029613	84160684	+	0.000	0.000	121
BG1207	chr5	84636325	84767396	+	0.000	0.000	122
BG1208	chr5	85243037	85374108	+	0.000	0.000	123
BG1210	chr5	86759817	86890888	+	0.000	0.000	124
BG1211	chr5	89793377	89924448	+	0.000	0.000	125
BG1214	chr5	93433649	93564720	+	0.000	0.000	126
BG1218	chr5	101017549	101148620	+	0.000	0.000	127
BG1219	chr5	102534329	102665400	+	0.000	0.000	128
BG1221	chr5	106477957	106609028	+	0.000	0.000	129
BG1222	chr5	107084669	107215740	+	0.000	0.000	130
BG1224	chr5	108904805	109035876	+	0.000	0.000	131
BG1226	chr5	116185349	116316420	+	0.000	0.000	132
BG1229	chr5	117398773	117529844	+	0.000	0.000	133
BG1234	chr5	124072605	124203676	+	0.000	0.000	134
BG1242	chr5	144700813	144831884	+	0.000	0.000	135
BG1254	chr5	161385393	161516464	+	0.000	0.000	136
BG1255	chr5	162598817	162729888	+	0.000	0.000	137
BG1256	chr5	162902173	163033244	+	0.000	0.000	138
BG1298	chr6	54264209	54395280	+	0.000	0.000	139
BG1299	chr6	55779969	55911040	+	0.000	0.000	140
BG1302	chr6	62449313	62580384	+	0.000	0.000	141
BG1306	chr6	67906049	68037120	+	0.000	0.000	142
BG1307	chr6	68209201	68340272	+	0.000	0.000	143
BG1311	chr6	74575393	74706464	+	0.000	0.000	144
BG1313	chr6	77000609	77131680	+	0.000	0.000	145
BG1314	chr6	77303761	77434832	+	0.000	0.000	146
BG1315	chr6	77910065	78041136	+	0.000	0.000	147
BG1324	chr6	91551905	91682976	+	0.000	0.000	148
BG1325	chr6	92158209	92289280	+	0.000	0.000	149
BG1327	chr6	95189729	95320800	+	0.000	0.000	150
BG1328	chr6	95796033	95927104	+	0.000	0.000	151
BG1329	chr6	96099185	96230256	+	0.000	0.000	152
BG1336	chr6	101252769	101383840	+	0.000	0.000	153
BG1337	chr6	101859073	101990144	+	0.000	0.000	154
BG1338	chr6	102465377	102596448	+	0.000	0.000	155
BG1339	chr6	103071681	103202752	+	0.000	0.000	156
BG1348	chr6	114591457	114722528	+	0.000	0.000	157
BG1349	chr6	114894609	115025680	+	0.000	0.000	158
BG1353	chr6	120957649	121088720	+	0.000	0.000	159
BG1356	chr6	126414385	126545456	+	0.000	0.000	160
BG1364	chr6	141268833	141399904	+	0.000	0.000	161
BG1385	chr7	11827375	11958446	+	0.000	0.000	162
BG1389	chr7	15466567	15597638	+	0.000	0.000	163
BG1425	chr7	81578555	81709626	+	0.000	0.000	164
BG1426	chr7	81881821	82012892	+	0.000	0.000	165
BG1427	chr7	83094885	83225956	+	0.000	0.000	166
BG1430	chr7	85521013	85652084	+	0.000	0.000	167
BG1434	chr7	88553673	88684744	+	0.000	0.000	168
BG1437	chr7	93709195	93840266	+	0.000	0.000	169
BG1438	chr7	94922259	95053330	+	0.000	0.000	170
BG1444	chr7	111298623	111429694	+	0.000	0.000	171
BG1450	chr7	119183539	119314610	+	0.000	0.000	172
BG1451	chr7	120396603	120527674	+	0.000	0.000	173
BG1457	chr7	125552125	125683196	+	0.000	0.000	174
BG1458	chr7	126158657	126289728	+	0.000	0.000	175
BG1459	chr7	126461923	126592994	+	0.000	0.000	176
BG1463	chr7	137076233	137207304	+	0.000	0.000	177
BG1483	chr8	16381603	16512674	+	0.000	0.000	178
BG1495	chr8	39740554	39871625	+	0.000	0.000	179
BG1503	chr8	50964985	51096056	+	0.000	0.000	180
BG1513	chr8	59459149	59590220	+	0.000	0.000	181
BG1531	chr8	75537388	75668459	+	0.000	0.000	182
BG1532	chr8	76447477	76578548	+	0.000	0.000	183
BG1535	chr8	83121463	83252534	+	0.000	0.000	184
BG1536	chr8	83728189	83859260	+	0.000	0.000	185
BG1540	chr8	86761819	86892890	+	0.000	0.000	186
BG1541	chr8	88278634	88409705	+	0.000	0.000	187
BG1550	chr8	99199702	99330773	+	0.000	0.000	188
BG1553	chr8	104053510	104184581	+	0.000	0.000	189
BG1559	chr8	110120770	110251841	+	0.000	0.000	190
BG1560	chr8	112851037	112982108	+	0.000	0.000	191
BG1561	chr8	113457763	113588834	+	0.000	0.000	192
BG1562	chr8	114974578	115105649	+	0.000	0.000	193
BG1587	chr9	10309107	10440178	+	0.000	0.000	194
BG1607	chr9	31533737	31664808	+	0.000	0.000	195
BG1636	chr9	103697479	103828550	+	0.000	0.000	196
BG1668	chrX	21381913	21512984	+	0.000	0.000	197
BG1690	chrX	78400345	78531416	+	0.000	0.000	198
BG1691	chrX	79588229	79719300	+	0.000	0.000	199
BG1706	chrX	121461140	121592211	+	0.000	0.000	200
