idx	chrom	start	end	K562	HepG2	GM12878	HSC	Liver	NaiveB
80	chr1	25155225	25286297	True	True	True	True	True	True
81	chr1	25458300	25589372	True	True	True	True	True	True
82	chr1	25761375	25892447	True	True	True	True	True	True
83	chr1	26064450	26195522	True	True	True	True	True	True
84	chr1	26367525	26498597	True	True	True	True	True	True
85	chr1	26670600	26801672	True	True	True	True	True	True
86	chr1	26973675	27104747	True	True	True	True	True	True
87	chr1	27276750	27407822	True	True	True	True	True	True
88	chr1	27579825	27710897	True	True	True	True	True	True
89	chr1	27882900	28013972	True	True	True	True	True	True
90	chr1	28185975	28317047	True	True	True	True	True	True
91	chr1	28489050	28620122	True	True	True	True	True	True
92	chr1	28792125	28923197	True	True	True	True	True	True
93	chr1	29095200	29226272	True	True	True	True	True	True
94	chr1	29398275	29529347	False	True	False	True	False	False
95	chr1	29701350	29832422	True	True	True	True	True	False
96	chr1	30004425	30135497	True	True	False	True	False	False
97	chr1	30307500	30438572	False	True	False	True	True	False
98	chr1	30610575	30741647	True	True	True	True	True	True
99	chr1	30913650	31044722	True	False	True	True	True	True
100	chr1	31216725	31347797	True	True	True	True	True	True
101	chr1	31519800	31650872	True	True	True	True	True	True
102	chr1	31822875	31953947	True	True	True	True	True	True
103	chr1	32125950	32257022	True	True	True	True	True	True
104	chr1	32429025	32560097	True	True	True	True	True	True
105	chr1	32732100	32863172	True	True	True	True	True	True
106	chr1	33035175	33166247	True	True	True	True	True	True
107	chr1	33338250	33469322	True	True	True	True	True	True
108	chr1	33641325	33772397	False	False	False	True	False	False
109	chr1	33944400	34075472	False	False	False	True	False	False
110	chr1	34247475	34378547	False	False	True	True	False	False
111	chr1	34550550	34681622	False	False	False	True	True	False
112	chr1	34853625	34984697	True	True	True	True	True	True
113	chr1	35156700	35287772	True	True	True	True	True	True
114	chr1	35459775	35590847	True	True	True	True	True	True
115	chr1	35762850	35893922	True	True	True	True	True	True
116	chr1	36065925	36196997	True	True	True	True	True	True
117	chr1	36369000	36500072	True	True	True	True	True	True
118	chr1	36672075	36803147	True	True	True	True	True	False
119	chr1	36975150	37106222	False	False	False	True	False	True
120	chr1	37278225	37409297	False	False	True	True	False	True
121	chr1	37581300	37712372	True	True	True	True	True	True
122	chr1	37884375	38015447	True	True	True	True	True	True
123	chr1	38187450	38318522	True	False	True	True	True	False
124	chr1	38490525	38621597	False	False	True	True	True	True
125	chr1	38793600	38924672	True	True	True	True	True	True
126	chr1	39096675	39227747	True	True	True	True	True	True
127	chr1	39399750	39530822	True	True	True	True	True	True
128	chr1	39702825	39833897	True	True	True	True	True	True
129	chr1	40005900	40136972	True	True	True	True	True	True
130	chr1	40308975	40440047	True	True	True	True	True	True
131	chr1	40612050	40743122	True	True	True	True	True	True
132	chr1	40915125	41046197	True	True	True	True	True	True
133	chr1	41218200	41349272	True	True	True	True	True	True
134	chr1	41521275	41652347	False	True	True	True	True	True
135	chr1	41824350	41955422	False	False	True	True	True	True
136	chr1	42127425	42258497	False	True	True	True	True	False
137	chr1	42430500	42561572	False	True	True	True	True	True
138	chr1	42733575	42864647	True	True	True	True	True	True
139	chr1	43036650	43167722	True	True	True	True	True	True
140	chr1	43339725	43470797	True	True	True	True	True	True
141	chr1	43642800	43773872	True	True	True	True	True	True
142	chr1	43945875	44076947	True	True	True	True	True	True
143	chr1	44248950	44380022	True	True	True	True	True	True
144	chr1	44552025	44683097	True	True	True	True	True	True
145	chr1	44855100	44986172	True	False	True	True	True	True
146	chr1	45158175	45289247	True	True	True	True	True	True
147	chr1	45461250	45592322	True	True	True	True	True	True
148	chr1	45764325	45895397	True	True	True	True	True	True
149	chr1	46067400	46198472	True	True	True	True	True	True
150	chr1	46370475	46501547	True	True	True	True	True	True
151	chr1	46673550	46804622	True	True	True	True	True	True
152	chr1	46976625	47107697	False	False	False	True	False	False
153	chr1	47279700	47410772	True	True	True	True	True	True
154	chr1	47582775	47713847	False	True	True	True	True	False
155	chr1	47885850	48016922	False	True	True	True	True	False
156	chr1	48188925	48319997	False	True	False	True	True	True
157	chr1	48492000	48623072	False	True	False	True	True	True
158	chr1	48795075	48926147	False	True	False	True	True	False
159	chr1	49098150	49229222	False	False	False	True	False	False
160	chr1	49401225	49532297	False	False	False	True	False	False
161	chr1	49704300	49835372	False	False	False	True	False	False
162	chr1	50007375	50138447	False	False	False	True	False	False
163	chr1	50310450	50441522	True	True	True	True	True	True
164	chr1	50613525	50744597	True	True	True	True	False	True
165	chr1	50916600	51047672	True	True	True	True	True	True
166	chr1	51219675	51350747	True	True	True	True	True	True
167	chr1	51522750	51653822	True	True	True	True	True	True
168	chr1	51825825	51956897	True	True	True	True	True	True
169	chr1	52128900	52259972	True	True	True	True	True	True
170	chr1	52431975	52563047	True	True	True	True	True	True
171	chr1	52735050	52866122	True	True	True	True	True	True
172	chr1	53038125	53169197	True	True	False	True	True	False
173	chr1	53341200	53472272	True	True	True	True	True	True
174	chr1	53644275	53775347	True	True	True	True	True	True
175	chr1	53947350	54078422	True	True	True	True	True	True
176	chr1	54250425	54381497	True	True	True	True	True	True
177	chr1	54553500	54684572	True	True	True	True	True	False
178	chr1	54856575	54987647	True	True	True	True	True	True
179	chr1	55159650	55290722	True	True	True	True	True	True
180	chr1	55462725	55593797	True	True	False	True	True	False
181	chr1	55765800	55896872	False	False	True	True	True	False
182	chr1	56068875	56199947	False	True	True	True	False	False
183	chr1	56371950	56503022	False	True	True	True	True	True
184	chr1	56675025	56806097	False	True	True	True	True	False
185	chr1	56978100	57109172	False	True	False	True	True	False
186	chr1	57281175	57412247	False	False	False	True	True	False
187	chr1	57584250	57715322	False	False	False	True	False	False
188	chr1	57887325	58018397	False	False	True	True	False	True
189	chr1	58190400	58321472	False	True	False	True	True	False
190	chr1	58493475	58624547	True	True	True	True	True	True
191	chr1	58796550	58927622	True	True	True	True	True	True
192	chr1	59099625	59230697	True	True	True	True	True	True
193	chr1	59402700	59533772	True	True	True	True	True	True
194	chr1	59705775	59836847	False	True	True	True	True	True
195	chr1	60008850	60139922	False	False	False	True	False	False
196	chr1	60311925	60442997	False	False	False	True	False	False
197	chr1	60615000	60746072	False	True	False	True	False	False
198	chr1	60918075	61049147	True	True	True	True	True	True
199	chr1	61221150	61352222	True	True	True	True	True	False
200	chr1	61524225	61655297	True	True	True	True	True	True
201	chr1	61827300	61958372	False	True	False	True	True	False
202	chr1	62130375	62261447	False	True	False	True	True	False
203	chr1	62433450	62564522	True	True	True	True	True	True
204	chr1	62736525	62867597	True	True	True	True	True	True
205	chr1	63039600	63170672	False	False	True	True	True	False
206	chr1	63342675	63473747	True	True	True	True	True	True
207	chr1	63645750	63776822	False	True	True	True	True	True
208	chr1	63948825	64079897	False	False	False	True	True	True
209	chr1	64251900	64382972	False	False	False	True	False	False
210	chr1	64554975	64686047	False	True	False	True	False	False
211	chr1	64858050	64989122	True	True	True	True	True	True
212	chr1	65161125	65292197	True	True	True	True	True	True
213	chr1	65464200	65595272	True	True	False	True	True	False
214	chr1	65767275	65898347	False	False	True	True	True	False
215	chr1	66070350	66201422	False	False	False	True	True	False
216	chr1	66373425	66504497	False	False	True	True	True	True
217	chr1	66676500	66807572	True	False	True	True	True	True
218	chr1	66979575	67110647	True	True	True	True	True	True
219	chr1	67282650	67413722	True	False	True	True	True	True
220	chr1	67585725	67716797	True	True	True	True	True	True
221	chr1	67888800	68019872	True	False	False	True	True	False
222	chr1	68191875	68322947	False	True	False	True	True	False
223	chr1	68494950	68626022	True	True	True	True	True	True
224	chr1	68798025	68929097	False	False	False	True	False	False
225	chr1	69101100	69232172	False	False	False	True	False	False
226	chr1	69404175	69535247	False	False	False	True	False	False
227	chr1	69707250	69838322	False	False	False	True	True	False
228	chr1	70010325	70141397	True	True	False	True	True	False
229	chr1	70313400	70444472	True	True	True	True	True	True
230	chr1	70616475	70747547	True	True	True	True	True	False
231	chr1	70919550	71050622	True	True	True	True	True	True
232	chr1	71222625	71353697	False	False	False	True	False	False
233	chr1	71525700	71656772	False	False	True	True	False	False
234	chr1	71828775	71959847	False	False	False	True	False	False
235	chr1	72131850	72262922	False	True	False	True	False	False
236	chr1	72434925	72565997	False	True	False	True	False	False
237	chr1	72738000	72869072	False	False	False	True	False	False
238	chr1	73041075	73172147	False	False	False	True	False	False
239	chr1	73344150	73475222	False	False	False	True	False	False
240	chr1	73647225	73778297	False	False	False	True	False	False
241	chr1	73950300	74081372	False	False	False	True	False	False
242	chr1	74253375	74384447	False	True	False	True	False	False
243	chr1	74556450	74687522	False	False	True	True	True	True
244	chr1	74859525	74990597	False	False	False	True	False	False
245	chr1	75162600	75293672	False	True	False	True	True	False
246	chr1	75465675	75596747	True	False	False	True	False	False
247	chr1	75768750	75899822	True	True	True	True	True	True
248	chr1	76071825	76202897	True	True	True	True	True	True
249	chr1	76374900	76505972	False	False	True	True	False	True
250	chr1	76677975	76809047	False	True	False	True	False	False
251	chr1	76981050	77112122	False	True	False	True	False	False
252	chr1	77284125	77415197	False	True	False	True	True	False
253	chr1	77587200	77718272	True	True	True	True	True	True
254	chr1	77890275	78021347	True	True	True	True	True	True
255	chr1	78193350	78324422	False	False	True	True	True	False
256	chr1	78496425	78627497	False	True	False	True	True	True
257	chr1	78799500	78930572	False	False	True	True	False	False
258	chr1	79102575	79233647	False	False	True	True	False	False
259	chr1	79405650	79536722	False	False	True	True	False	False
260	chr1	79708725	79839797	False	False	True	True	False	True
261	chr1	80011800	80142872	False	False	False	True	False	False
262	chr1	80314875	80445947	False	False	False	True	False	False
263	chr1	80617950	80749022	False	False	True	True	True	True
264	chr1	80921025	81052097	False	False	False	True	False	False
265	chr1	81224100	81355172	False	False	False	True	True	False
266	chr1	81527175	81658247	False	False	True	True	True	False
267	chr1	81830250	81961322	False	True	False	True	True	False
268	chr1	82133325	82264397	False	False	False	True	False	False
269	chr1	82436400	82567472	False	False	False	True	True	False
270	chr1	82739475	82870547	False	False	False	True	False	False
271	chr1	83042550	83173622	False	False	True	True	True	False
272	chr1	83345625	83476697	False	False	True	True	False	False
273	chr1	83648700	83779772	False	True	True	True	True	True
274	chr1	83951775	84082847	True	True	True	True	True	True
275	chr1	84254850	84385922	True	True	True	True	True	True
276	chr1	84557925	84688997	True	True	True	True	True	True
277	chr1	84861000	84992072	True	True	True	True	True	True
278	chr1	85164075	85295147	True	True	True	True	True	True
279	chr1	85467150	85598222	True	True	True	True	True	True
280	chr1	85770225	85901297	False	False	True	True	False	False
281	chr1	86073300	86204372	False	False	False	True	False	False
282	chr1	86376375	86507447	True	True	True	True	True	True
283	chr1	86679450	86810522	True	True	True	True	True	True
284	chr1	86982525	87113597	True	False	True	True	False	True
285	chr1	87285600	87416672	True	True	True	True	True	True
286	chr1	87588675	87719747	False	False	True	True	False	False
287	chr1	87891750	88022822	False	False	False	True	True	True
288	chr1	88194825	88325897	False	True	False	True	True	False
289	chr1	88497900	88628972	False	False	False	True	False	False
290	chr1	88800975	88932047	True	True	True	True	True	True
291	chr1	89104050	89235122	True	True	True	True	True	True
292	chr1	89407125	89538197	True	True	True	True	True	True
293	chr1	89710200	89841272	True	True	True	True	True	True
294	chr1	90013275	90144347	False	False	True	True	True	False
295	chr1	90316350	90447422	False	False	True	True	False	False
296	chr1	90619425	90750497	False	True	False	True	True	False
297	chr1	90922500	91053572	True	True	True	True	True	True
298	chr1	91528650	91659722	True	False	True	True	True	True
299	chr1	91831725	91962797	True	True	True	True	True	False
300	chr1	92134800	92265872	False	False	False	True	False	False
301	chr1	92437875	92568947	True	True	True	True	True	True
302	chr1	92740950	92872022	True	True	True	True	True	True
303	chr1	93044025	93175097	True	True	True	True	True	True
304	chr1	93347100	93478172	True	True	False	True	True	True
305	chr1	93650175	93781247	True	True	True	True	True	True
306	chr1	93953250	94084322	True	True	True	True	True	False
307	chr1	94256325	94387397	False	True	True	True	True	False
308	chr1	94559400	94690472	False	True	False	True	True	False
309	chr1	94862475	94993547	False	True	True	True	True	True
310	chr1	95165550	95296622	True	True	True	True	True	True
311	chr1	95468625	95599697	False	False	False	True	False	False
312	chr1	95771700	95902772	False	False	False	True	False	False
313	chr1	96074775	96205847	False	False	False	True	False	False
314	chr1	96377850	96508922	False	False	True	True	True	False
315	chr1	96680925	96811997	True	True	True	True	True	True
316	chr1	96984000	97115072	False	False	False	True	True	False
317	chr1	97287075	97418147	False	False	False	True	True	False
318	chr1	97590150	97721222	False	False	True	True	False	False
319	chr1	97893225	98024297	True	True	True	True	True	True
320	chr1	98196300	98327372	False	False	False	True	False	False
321	chr1	98499375	98630447	False	False	False	True	False	False
322	chr1	98802450	98933522	False	False	True	True	False	True
323	chr1	99105525	99236597	False	False	True	True	True	True
324	chr1	99408600	99539672	True	True	False	True	True	False
325	chr1	99711675	99842747	True	True	True	True	True	True
326	chr1	100014750	100145822	True	True	True	True	True	True
327	chr1	100317825	100448897	True	True	True	True	True	True
328	chr1	100620900	100751972	False	False	True	True	False	False
329	chr1	100923975	101055047	True	True	True	True	True	True
330	chr1	101227050	101358122	True	True	True	True	True	True
331	chr1	101530125	101661197	False	False	False	True	True	True
332	chr1	101833200	101964272	False	False	False	True	False	False
333	chr1	102136275	102267347	False	False	True	True	False	False
334	chr1	102439350	102570422	False	True	False	True	False	False
335	chr1	102742425	102873497	False	False	False	True	False	False
336	chr1	103045500	103176572	False	False	False	True	False	False
337	chr1	103348575	103479647	False	False	False	True	False	False
338	chr1	103954725	104085797	False	False	False	True	False	False
339	chr1	104257800	104388872	False	False	False	True	False	False
340	chr1	104560875	104691947	False	False	False	True	False	True
341	chr1	104863950	104995022	False	False	True	True	False	True
342	chr1	105167025	105298097	False	False	False	True	False	False
343	chr1	105470100	105601172	False	False	False	True	False	False
344	chr1	105773175	105904247	False	False	False	True	False	True
345	chr1	106076250	106207322	False	False	False	True	False	False
346	chr1	106379325	106510397	False	False	False	True	False	False
347	chr1	106682400	106813472	False	False	True	True	False	False
348	chr1	106985475	107116547	True	True	True	True	True	True
349	chr1	107288550	107419622	False	False	False	True	False	False
350	chr1	107591625	107722697	False	True	True	True	False	False
351	chr1	107894700	108025772	True	True	True	True	False	True
352	chr1	108197775	108328847	True	True	True	True	True	True
353	chr1	108500850	108631922	True	True	True	True	True	True
354	chr1	108803925	108934997	True	True	True	True	True	True
355	chr1	109107000	109238072	True	True	True	True	True	True
356	chr1	109410075	109541147	True	True	True	True	True	True
357	chr1	109713150	109844222	True	True	True	True	True	True
358	chr1	110016225	110147297	True	True	True	True	True	True
359	chr1	110319300	110450372	True	True	True	True	True	True
360	chr1	110622375	110753447	False	False	True	True	True	True
361	chr1	110925450	111056522	True	True	True	True	True	True
362	chr1	111228525	111359597	True	True	True	True	True	True
363	chr1	111531600	111662672	True	True	True	True	True	True
364	chr1	111834675	111965747	False	False	False	True	True	True
365	chr1	112137750	112268822	False	False	False	True	True	False
366	chr1	112440825	112571897	True	True	True	True	True	True
367	chr1	112743900	112874972	True	True	True	True	True	True
368	chr1	113046975	113178047	True	True	True	True	True	True
369	chr1	113350050	113481122	True	True	True	True	True	True
370	chr1	113653125	113784197	True	True	True	True	True	True
371	chr1	113956200	114087272	False	True	True	True	True	False
372	chr1	114259275	114390347	True	True	True	True	True	True
373	chr1	114562350	114693422	True	True	True	True	True	True
374	chr1	114865425	114996497	False	False	False	True	False	False
375	chr1	115168500	115299572	False	False	False	True	True	False
376	chr1	115471575	115602647	False	True	True	True	True	False
377	chr1	115774650	115905722	False	False	True	True	True	False
378	chr1	116077725	116208797	True	True	True	True	True	True
379	chr1	116380800	116511872	True	True	True	True	True	True
380	chr1	116683875	116814947	True	True	True	True	True	True
381	chr1	116986950	117118022	True	True	True	True	True	True
382	chr1	117290025	117421097	True	True	True	True	True	True
383	chr1	117593100	117724172	True	True	True	True	True	True
384	chr1	117896175	118027247	True	True	True	True	True	True
385	chr1	118199250	118330322	False	True	False	True	False	False
386	chr1	118502325	118633397	False	False	True	True	False	False
387	chr1	118805400	118936472	False	True	True	True	True	False
388	chr1	119108475	119239547	True	True	True	True	True	True
389	chr1	119411550	119542622	False	True	True	True	True	False
390	chr1	119714625	119845697	True	True	False	True	True	True
391	chr1	120017700	120148772	True	True	True	True	True	True
392	chr1	120320775	120451847	True	True	True	True	True	True
393	chr1	120623850	120754922	True	True	True	True	True	True
394	chr1	120926925	121057997	True	True	True	True	True	True
395	chr1	121230000	121361072	True	True	True	True	True	True
396	chr1	143657550	143788622	True	True	True	True	True	True
397	chr1	143960625	144091697	True	True	True	True	True	True
398	chr1	144263700	144394772	False	False	False	True	False	False
399	chr1	144566775	144697847	False	False	False	True	False	False
400	chr1	144869850	145000922	True	True	True	True	True	True
401	chr1	145172925	145303997	True	True	True	True	True	True
402	chr1	145476000	145607072	False	False	True	True	True	True
403	chr1	145779075	145910147	True	True	True	True	True	True
404	chr1	146082150	146213222	False	False	False	True	False	False
405	chr1	146385225	146516297	True	True	True	True	True	True
406	chr1	146688300	146819372	False	True	False	True	True	True
407	chr1	146991375	147122447	True	True	True	True	True	True
408	chr1	147294450	147425522	True	False	True	True	False	False
409	chr1	147597525	147728597	True	True	True	True	True	True
410	chr1	147900600	148031672	True	True	True	True	True	True
411	chr1	148203675	148334747	True	True	True	True	True	True
412	chr1	148506750	148637822	True	True	True	True	True	True
413	chr1	148809825	148940897	True	False	True	True	True	True
414	chr1	149112900	149243972	True	True	True	True	True	True
415	chr1	149415975	149547047	False	False	False	True	False	False
416	chr1	149719050	149850122	True	True	True	True	True	True
417	chr1	150022125	150153197	True	True	True	True	True	True
418	chr1	150325200	150456272	True	True	True	True	True	True
419	chr1	150628275	150759347	True	True	True	True	True	True
420	chr1	150931350	151062422	True	True	True	True	True	True
421	chr1	151234425	151365497	True	True	True	True	True	True
422	chr1	151537500	151668572	True	True	True	True	True	True
423	chr1	151840575	151971647	True	True	True	True	True	True
424	chr1	152143650	152274722	False	False	True	True	True	False
425	chr1	152446725	152577797	False	True	True	True	True	True
426	chr1	152749800	152880872	False	True	True	True	False	False
427	chr1	153052875	153183947	False	False	True	True	False	False
428	chr1	153355950	153487022	True	False	False	True	True	True
429	chr1	153659025	153790097	True	True	True	True	True	True
430	chr1	153962100	154093172	True	True	True	True	True	True
431	chr1	154265175	154396247	True	True	True	True	True	True
432	chr1	154568250	154699322	True	True	True	True	True	True
433	chr1	154871325	155002397	True	True	True	True	True	True
434	chr1	155174400	155305472	True	True	True	True	True	True
435	chr1	155477475	155608547	True	True	True	True	True	True
436	chr1	155780550	155911622	True	True	True	True	True	True
437	chr1	156083625	156214697	True	True	True	True	True	True
438	chr1	156386700	156517772	True	True	True	True	True	True
439	chr1	156689775	156820847	True	True	True	True	True	True
440	chr1	156992850	157123922	True	True	True	True	True	True
441	chr1	157295925	157426997	True	True	True	True	True	True
442	chr1	157599000	157730072	False	False	True	True	False	True
443	chr1	157902075	158033147	False	True	False	True	True	True
444	chr1	158205150	158336222	False	False	True	True	True	True
445	chr1	158508225	158639297	False	False	False	True	False	True
446	chr1	158811300	158942372	True	False	True	True	False	True
447	chr1	159114375	159245447	False	False	True	True	True	True
448	chr1	159417450	159548522	False	False	False	True	True	False
449	chr1	159720525	159851597	True	True	True	True	True	True
450	chr1	160023600	160154672	True	True	True	True	True	True
451	chr1	160326675	160457747	True	True	True	True	True	True
452	chr1	160629750	160760822	True	True	True	True	True	True
453	chr1	160932825	161063897	True	True	True	True	True	True
454	chr1	161235900	161366972	True	True	True	True	True	True
455	chr1	161538975	161670047	True	True	True	True	True	True
456	chr1	161842050	161973122	False	True	True	True	False	False
457	chr1	162145125	162276197	False	True	True	True	True	True
458	chr1	162448200	162579272	True	True	True	True	True	True
459	chr1	162751275	162882347	True	True	True	True	True	True
460	chr1	163054350	163185422	False	False	False	True	False	False
461	chr1	163357425	163488497	False	False	True	True	False	False
462	chr1	163660500	163791572	False	False	False	True	False	False
463	chr1	163963575	164094647	False	False	False	True	False	False
464	chr1	164266650	164397722	False	False	False	True	False	False
465	chr1	164569725	164700797	False	True	True	True	True	False
466	chr1	164872800	165003872	False	False	False	True	False	False
467	chr1	165175875	165306947	False	True	False	True	True	False
468	chr1	165478950	165610022	True	True	True	True	True	True
469	chr1	165782025	165913097	True	True	True	True	True	True
470	chr1	166085100	166216172	True	True	True	True	True	False
471	chr1	166388175	166519247	True	True	True	True	True	True
472	chr1	166691250	166822322	True	False	False	True	False	False
473	chr1	166994325	167125397	True	True	True	True	True	True
474	chr1	167297400	167428472	False	True	True	True	True	True
475	chr1	167600475	167731547	True	True	True	True	True	True
476	chr1	167903550	168034622	True	True	True	True	True	True
477	chr1	168509700	168640772	False	True	True	True	True	False
478	chr1	168812775	168943847	False	True	True	True	True	False
479	chr1	169115850	169246922	True	True	True	True	True	False
480	chr1	169418925	169549997	True	True	True	True	True	True
481	chr1	169722000	169853072	True	True	True	True	True	True
482	chr1	170025075	170156147	True	True	True	True	True	True
483	chr1	170328150	170459222	False	False	False	True	False	False
484	chr1	170631225	170762297	False	False	True	True	False	False
485	chr1	170934300	171065372	False	False	False	True	False	False
486	chr1	171237375	171368447	True	True	True	True	True	True
487	chr1	171540450	171671522	True	True	True	True	True	False
488	chr1	171843525	171974597	False	False	True	True	False	False
489	chr1	172146600	172277672	False	True	True	True	True	True
490	chr1	172449675	172580747	True	True	True	True	True	True
491	chr1	172752750	172883822	False	False	True	True	True	True
492	chr1	173055825	173186897	False	True	False	True	True	True
493	chr1	173358900	173489972	True	True	True	True	True	True
494	chr1	173661975	173793047	True	True	True	True	True	True
495	chr1	173965050	174096122	True	True	True	True	True	True
496	chr1	174268125	174399197	False	False	True	True	False	True
497	chr1	174571200	174702272	False	True	False	True	False	False
498	chr1	174874275	175005347	True	True	True	True	True	True
499	chr1	175177350	175308422	True	True	True	True	True	True
500	chr1	175480425	175611497	False	False	True	True	True	True
501	chr1	175783500	175914572	True	True	True	True	False	False
502	chr1	176086575	176217647	True	True	True	True	True	True
503	chr1	176389650	176520722	True	True	False	True	True	False
504	chr1	176692725	176823797	False	False	False	True	True	False
505	chr1	176995800	177126872	False	False	False	True	False	False
506	chr1	177298875	177429947	False	False	False	True	False	False
507	chr1	177601950	177733022	False	True	False	True	True	False
508	chr1	177905025	178036097	False	True	True	True	True	False
509	chr1	178208100	178339172	False	True	False	True	True	True
510	chr1	178511175	178642247	True	True	True	True	True	True
511	chr1	178814250	178945322	False	True	False	True	True	True
512	chr1	179117325	179248397	True	True	True	True	True	True
513	chr1	179420400	179551472	False	False	True	True	False	False
514	chr1	179723475	179854547	True	True	True	True	True	True
515	chr1	180026550	180157622	True	True	True	True	True	True
516	chr1	180329625	180460697	False	False	True	True	False	False
517	chr1	180632700	180763772	True	True	True	True	True	True
518	chr1	180935775	181066847	True	True	True	True	True	True
519	chr1	181238850	181369922	False	False	True	True	True	False
520	chr1	181541925	181672997	False	False	True	True	True	False
521	chr1	181845000	181976072	True	True	True	True	False	False
522	chr1	182148075	182279147	True	True	True	True	True	False
523	chr1	182451150	182582222	False	True	True	True	True	True
524	chr1	182754225	182885297	True	True	True	True	True	True
525	chr1	183057300	183188372	False	True	True	True	True	True
526	chr1	183360375	183491447	True	True	True	True	True	True
527	chr1	183663450	183794522	False	True	True	True	True	False
528	chr1	183966525	184097597	True	True	True	True	True	True
529	chr1	184269600	184400672	True	True	True	True	True	True
530	chr1	184572675	184703747	False	True	True	True	True	False
531	chr1	184875750	185006822	True	False	True	True	True	True
532	chr1	185178825	185309897	True	True	False	True	True	True
533	chr1	185481900	185612972	False	False	True	True	True	True
534	chr1	185784975	185916047	False	False	False	True	True	False
