#Name (cmd = mergePeaks /workspace/gene_expression_predictions/results/homer_sae/hyenadna_late_blood/bg.clean.pos /workspace/gene_expression_predictions/results/homer_sae/hyenadna_late_blood/target.clean..pos -d 200 -cobound 1 -prefix /workspace/gene_expression_predictions/results/homer_sae/hyenadna_late_blood/0.148176481555314.2.tmp)	chr	start	end	strand	stat	stat2	/workspace/gene_expression_predictions/results/homer_sae/hyenadna_late_blood/target.clean..pos
BG1158	chr17	72811201	72942272	+	0.000	0.000	62
BG1173	chr18	8781201	8912272	+	0.000	0.000	63
BG1209	chr18	51173201	51304272	+	0.000	0.000	64
BG1213	chr18	55412401	55543472	+	0.000	0.000	65
BG1223	chr18	61468401	61599472	+	0.000	0.000	66
BG1230	chr18	74791601	74922672	+	0.000	0.000	67
BG1276	chr19	51819670	51950741	+	0.000	0.000	68
BG1292	chr2	11209373	11340444	+	0.000	0.000	69
BG1294	chr2	12118241	12249312	+	0.000	0.000	70
BG1320	chr2	41202017	41333088	+	0.000	0.000	71
BG1324	chr2	45443401	45574472	+	0.000	0.000	72
BG1336	chr2	56046861	56177932	+	0.000	0.000	73
BG1341	chr2	59076421	59207492	+	0.000	0.000	74
BG1361	chr2	79980385	80111456	+	0.000	0.000	75
BG1362	chr2	80283341	80414412	+	0.000	0.000	76
BG1363	chr2	83918813	84049884	+	0.000	0.000	77
BG1375	chr2	102399129	102530200	+	0.000	0.000	78
BG1381	chr2	108761205	108892276	+	0.000	0.000	79
BG1390	chr2	121485357	121616428	+	0.000	0.000	80
BG1411	chr2	143904101	144035172	+	0.000	0.000	81
BG1433	chr2	162384417	162515488	+	0.000	0.000	82
BG1437	chr2	164808065	164939136	+	0.000	0.000	83
BG1451	chr2	179046997	179178068	+	0.000	0.000	84
BG1463	chr2	188438633	188569704	+	0.000	0.000	85
BG1465	chr2	189044545	189175616	+	0.000	0.000	86
BG1468	chr2	192074105	192205176	+	0.000	0.000	87
BG1469	chr2	195406621	195537692	+	0.000	0.000	88
BG1470	chr2	196618445	196749516	+	0.000	0.000	89
BG1476	chr2	201465741	201596812	+	0.000	0.000	90
BG1491	chr2	212978069	213109140	+	0.000	0.000	91
BG1494	chr2	217219453	217350524	+	0.000	0.000	92
BG1501	chr2	221460837	221591908	+	0.000	0.000	93
BG1502	chr2	222975617	223106688	+	0.000	0.000	94
BG1554	chr20	20932048	21063119	+	0.000	0.000	95
BG1560	chr20	29729575	29860646	+	0.000	0.000	96
BG1593	chr21	14820541	14951612	+	0.000	0.000	97
BG1598	chr21	17845141	17976212	+	0.000	0.000	98
BG1605	chr21	26918941	27050012	+	0.000	0.000	99
BG1607	chr21	29338621	29469692	+	0.000	0.000	100
BG1630	chr22	16693436	16824507	+	0.000	0.000	101
BG1636	chr22	22763776	22894847	+	0.000	0.000	102
BG1661	chr3	5757058	5888129	+	0.000	0.000	103
BG1662	chr3	6060061	6191132	+	0.000	0.000	104
BG1671	chr3	17574175	17705246	+	0.000	0.000	105
BG1688	chr3	33936337	34067408	+	0.000	0.000	106
BG1693	chr3	43329430	43460501	+	0.000	0.000	107
BG1701	chr3	54843544	54974615	+	0.000	0.000	108
BG1720	chr3	71205706	71336777	+	0.000	0.000	109
BG1731	chr3	85446847	85577918	+	0.000	0.000	110
BG1736	chr3	89082883	89213954	+	0.000	0.000	111
BG1756	chr3	116959159	117090230	+	0.000	0.000	112
BG1757	chr3	117868168	117999239	+	0.000	0.000	113
BG1772	chr3	135139339	135270410	+	0.000	0.000	114
BG1790	chr3	153925525	154056596	+	0.000	0.000	115
BG1826	chr3	193618918	193749989	+	0.000	0.000	116
BG1851	chr4	22434063	22565134	+	0.000	0.000	117
BG1885	chr4	60935764	61066835	+	0.000	0.000	118
BG1890	chr4	68211676	68342747	+	0.000	0.000	119
BG1892	chr4	68818002	68949073	+	0.000	0.000	120
BG1893	chr4	69121165	69252236	+	0.000	0.000	121
BG1910	chr4	82460337	82591408	+	0.000	0.000	122
BG1917	chr4	86704619	86835690	+	0.000	0.000	123
BG1956	chr4	104591236	104722307	+	0.000	0.000	124
BG1961	chr4	107016540	107147611	+	0.000	0.000	125
BG1972	chr4	118536734	118667805	+	0.000	0.000	126
BG1974	chr4	120052549	120183620	+	0.000	0.000	127
BG1975	chr4	120355712	120486783	+	0.000	0.000	128
BG1976	chr4	120962038	121093109	+	0.000	0.000	129
BG1979	chr4	122174690	122305761	+	0.000	0.000	130
BG1997	chr4	143699263	143830334	+	0.000	0.000	131
BG1998	chr4	144002426	144133497	+	0.000	0.000	132
BG2003	chr4	147034056	147165127	+	0.000	0.000	133
BG2007	chr4	151581501	151712572	+	0.000	0.000	134
BG2016	chr4	157038435	157169506	+	0.000	0.000	135
BG2017	chr4	157341598	157472669	+	0.000	0.000	136
BG2035	chr4	177047193	177178264	+	0.000	0.000	137
BG2038	chr4	184019942	184151013	+	0.000	0.000	138
BG2045	chr5	5460409	5591480	+	0.000	0.000	139
BG2048	chr5	7887257	8018328	+	0.000	0.000	140
BG2057	chr5	14257733	14388804	+	0.000	0.000	141
BG2074	chr5	38829569	38960640	+	0.000	0.000	142
BG2076	chr5	39739637	39870708	+	0.000	0.000	143
BG2135	chr5	87669885	87800956	+	0.000	0.000	144
BG2144	chr5	102837685	102968756	+	0.000	0.000	145
BG2146	chr5	104051109	104182180	+	0.000	0.000	146
BG2148	chr5	105264533	105395604	+	0.000	0.000	147
BG2153	chr5	108904805	109035876	+	0.000	0.000	148
BG2166	chr5	125286029	125417100	+	0.000	0.000	149
BG2178	chr5	133779997	133911068	+	0.000	0.000	150
BG2181	chr5	136510201	136641272	+	0.000	0.000	151
BG2182	chr5	137116913	137247984	+	0.000	0.000	152
BG2221	chr6	1818913	1949984	+	0.000	0.000	153
BG2225	chr6	9397713	9528784	+	0.000	0.000	154
BG2246	chr6	29708897	29839968	+	0.000	0.000	155
BG2309	chr6	68815505	68946576	+	0.000	0.000	156
BG2328	chr6	76697457	76828528	+	0.000	0.000	157
BG2334	chr6	78516369	78647440	+	0.000	0.000	158
BG2336	chr6	80335281	80466352	+	0.000	0.000	159
BG2343	chr6	84882561	85013632	+	0.000	0.000	160
BG2364	chr6	93673969	93805040	+	0.000	0.000	161
BG2376	chr6	97918097	98049168	+	0.000	0.000	162
BG2383	chr6	100646465	100777536	+	0.000	0.000	163
BG2404	chr6	110650481	110781552	+	0.000	0.000	164
BG2413	chr6	117319825	117450896	+	0.000	0.000	165
BG2414	chr6	117622977	117754048	+	0.000	0.000	166
BG2420	chr6	125201777	125332848	+	0.000	0.000	167
BG2422	chr6	126717537	126848608	+	0.000	0.000	168
BG2450	chr6	147635025	147766096	+	0.000	0.000	169
BG2462	chr6	156123281	156254352	+	0.000	0.000	170
BG2489	chr7	10311045	10442116	+	0.000	0.000	171
BG2505	chr7	17286163	17417234	+	0.000	0.000	172
BG2590	chr7	62776063	62907134	+	0.000	0.000	173
BG2615	chr7	84611215	84742286	+	0.000	0.000	174
BG2624	chr7	91889599	92020670	+	0.000	0.000	175
BG2641	chr7	104323505	104454576	+	0.000	0.000	176
BG2656	chr7	115847613	115978684	+	0.000	0.000	177
BG2660	chr7	122216199	122347270	+	0.000	0.000	178
BG2663	chr7	123125997	123257068	+	0.000	0.000	179
BG2664	chr7	123429263	123560334	+	0.000	0.000	180
BG2669	chr7	126765189	126896260	+	0.000	0.000	181
BG2754	chr8	49144807	49275878	+	0.000	0.000	182
BG2778	chr8	72807121	72938192	+	0.000	0.000	183
BG2797	chr8	93435805	93566876	+	0.000	0.000	184
BG2807	chr8	98289613	98420684	+	0.000	0.000	185
BG2816	chr8	107087140	107218211	+	0.000	0.000	186
BG2836	chr8	128322550	128453621	+	0.000	0.000	187
BG2850	chr8	140760433	140891504	+	0.000	0.000	188
BG2855	chr8	144704152	144835223	+	0.000	0.000	189
BG2896	chr9	26682393	26813464	+	0.000	0.000	190
BG2941	chr9	92478746	92609817	+	0.000	0.000	191
BG2945	chr9	95814045	95945116	+	0.000	0.000	192
BG3009	chrX	21381913	21512984	+	0.000	0.000	193
BG3014	chrX	31775898	31906969	+	0.000	0.000	194
BG3018	chrX	38606231	38737302	+	0.000	0.000	195
BG3029	chrX	47812332	47943403	+	0.000	0.000	196
BG3030	chrX	50188100	50319171	+	0.000	0.000	197
BG3033	chrX	52860839	52991910	+	0.000	0.000	198
BG3070	chrX	108691387	108822458	+	0.000	0.000	199
BG3101	chrX	155018863	155149934	+	0.000	0.000	200
BG9	chr1	15153751	15284822	+	0.000	0.000	1
