#Name (cmd = mergePeaks /workspace/gene_expression_predictions/results/homer_sae/nucleotide_transformer_mid_blood/bg.clean.pos /workspace/gene_expression_predictions/results/homer_sae/nucleotide_transformer_mid_blood/target.clean..pos -d 200 -cobound 1 -prefix /workspace/gene_expression_predictions/results/homer_sae/nucleotide_transformer_mid_blood/0.963624953133152.2.tmp)	chr	start	end	strand	stat	stat2	/workspace/gene_expression_predictions/results/homer_sae/nucleotide_transformer_mid_blood/target.clean..pos
BG1632	chr22	17603987	17735058	+	0.000	0.000	117
BG1633	chr22	20639157	20770228	+	0.000	0.000	118
BG1637	chr22	23370810	23501881	+	0.000	0.000	119
BG1639	chr22	24888395	25019466	+	0.000	0.000	120
BG1645	chr22	30048184	30179255	+	0.000	0.000	121
BG1677	chr3	23634235	23765306	+	0.000	0.000	122
BG1680	chr3	27573274	27704345	+	0.000	0.000	123
BG1704	chr3	56964565	57095636	+	0.000	0.000	124
BG1705	chr3	57873574	58004645	+	0.000	0.000	125
BG1766	chr3	128776276	128907347	+	0.000	0.000	126
BG1775	chr3	142108408	142239479	+	0.000	0.000	127
BG1784	chr3	149077477	149208548	+	0.000	0.000	128
BG1786	chr3	150592492	150723563	+	0.000	0.000	129
BG1828	chr4	2122142	2253213	+	0.000	0.000	130
BG1877	chr4	48809244	48940315	+	0.000	0.000	131
BG1883	chr4	56994645	57125716	+	0.000	0.000	132
BG1897	chr4	73062284	73193355	+	0.000	0.000	133
BG1901	chr4	75790751	75921822	+	0.000	0.000	134
BG1962	chr4	108835518	108966589	+	0.000	0.000	135
BG1965	chr4	112776637	112907708	+	0.000	0.000	136
BG2028	chr4	169771281	169902352	+	0.000	0.000	137
BG2051	chr5	10314105	10445176	+	0.000	0.000	138
BG2054	chr5	11830885	11961956	+	0.000	0.000	139
BG2060	chr5	16684581	16815652	+	0.000	0.000	140
BG2070	chr5	35189297	35320368	+	0.000	0.000	141
BG2073	chr5	37312789	37443860	+	0.000	0.000	142
BG2083	chr5	50660453	50791524	+	0.000	0.000	143
BG2116	chr5	71592017	71723088	+	0.000	0.000	144
BG2119	chr5	74928933	75060004	+	0.000	0.000	145
BG2120	chr5	75232289	75363360	+	0.000	0.000	146
BG2131	chr5	83726257	83857328	+	0.000	0.000	147
BG2171	chr5	127712877	127843948	+	0.000	0.000	148
BG2175	chr5	131049793	131180864	+	0.000	0.000	149
BG2176	chr5	131353149	131484220	+	0.000	0.000	150
BG2211	chr5	172306209	172437280	+	0.000	0.000	151
BG2216	chr5	178373329	178504400	+	0.000	0.000	152
BG2217	chr5	178676685	178807756	+	0.000	0.000	153
BG2218	chr5	179283397	179414468	+	0.000	0.000	154
BG2237	chr6	24555313	24686384	+	0.000	0.000	155
BG2248	chr6	34256177	34387248	+	0.000	0.000	156
BG2400	chr6	107922113	108053184	+	0.000	0.000	157
BG2405	chr6	110953633	111084704	+	0.000	0.000	158
BG2431	chr6	132780577	132911648	+	0.000	0.000	159
BG2477	chr7	3032661	3163732	+	0.000	0.000	160
BG2560	chr7	45793167	45924238	+	0.000	0.000	161
BG2586	chr7	56710743	56841814	+	0.000	0.000	162
BG2587	chr7	57014009	57145080	+	0.000	0.000	163
BG2594	chr7	63989127	64120198	+	0.000	0.000	164
BG2597	chr7	72783841	72914912	+	0.000	0.000	165
BG2598	chr7	73087107	73218178	+	0.000	0.000	166
BG2599	chr7	75209969	75341040	+	0.000	0.000	167
BG2600	chr7	75816501	75947572	+	0.000	0.000	168
BG2602	chr7	77332831	77463902	+	0.000	0.000	169
BG2619	chr7	88250407	88381478	+	0.000	0.000	170
BG2635	chr7	98864717	98995788	+	0.000	0.000	171
BG2636	chr7	99167983	99299054	+	0.000	0.000	172
BG2637	chr7	99471249	99602320	+	0.000	0.000	173
BG2695	chr7	151329735	151460806	+	0.000	0.000	174
BG2699	chr7	157091789	157222860	+	0.000	0.000	175
BG2714	chr8	10617706	10748777	+	0.000	0.000	176
BG2739	chr8	30336301	30467372	+	0.000	0.000	177
BG2740	chr8	31246390	31377461	+	0.000	0.000	178
BG2741	chr8	32156479	32287550	+	0.000	0.000	179
BG2745	chr8	36706924	36837995	+	0.000	0.000	180
BG2805	chr8	97682887	97813958	+	0.000	0.000	181
BG2806	chr8	97986250	98117321	+	0.000	0.000	182
BG2853	chr8	142883974	143015045	+	0.000	0.000	183
BG2897	chr9	26985602	27116673	+	0.000	0.000	184
BG2924	chr9	81866431	81997502	+	0.000	0.000	185
BG2932	chr9	87324193	87455264	+	0.000	0.000	186
BG2948	chr9	97026881	97157952	+	0.000	0.000	187
BG2962	chr9	109155241	109286312	+	0.000	0.000	188
BG2968	chr9	112187331	112318402	+	0.000	0.000	189
BG2989	chr9	130379871	130510942	+	0.000	0.000	190
BG2990	chr9	131895916	132026987	+	0.000	0.000	191
BG3023	chrX	44545651	44676722	+	0.000	0.000	192
BG3027	chrX	46624448	46755519	+	0.000	0.000	193
BG3034	chrX	54345694	54476765	+	0.000	0.000	194
BG3044	chrX	71570012	71701083	+	0.000	0.000	195
BG3045	chrX	74242751	74373822	+	0.000	0.000	196
BG3086	chrX	133933922	134064993	+	0.000	0.000	197
BG3087	chrX	134230893	134361964	+	0.000	0.000	198
BG3091	chrX	136903632	137034703	+	0.000	0.000	199
BG3100	chrX	154127950	154259021	+	0.000	0.000	200
