#Name (cmd = mergePeaks /workspace/gene_expression_predictions/results/homer_sae/enformer_early_blood/bg.clean.pos /workspace/gene_expression_predictions/results/homer_sae/enformer_early_blood/target.clean..pos -d 200 -cobound 1 -prefix /workspace/gene_expression_predictions/results/homer_sae/enformer_early_blood/0.421274822744639.2.tmp)	chr	start	end	strand	stat	stat2	/workspace/gene_expression_predictions/results/homer_sae/enformer_early_blood/target.clean..pos
BG1238	chr19	3333430	3464501	+	0.000	0.000	75
BG1239	chr19	4242547	4373618	+	0.000	0.000	76
BG1241	chr19	8182054	8313125	+	0.000	0.000	77
BG1242	chr19	9091171	9222242	+	0.000	0.000	78
BG1243	chr19	9394210	9525281	+	0.000	0.000	79
BG1244	chr19	9697249	9828320	+	0.000	0.000	80
BG1245	chr19	10606366	10737437	+	0.000	0.000	81
BG1246	chr19	11515483	11646554	+	0.000	0.000	82
BG1248	chr19	12121561	12252632	+	0.000	0.000	83
BG1249	chr19	12424600	12555671	+	0.000	0.000	84
BG1251	chr19	13636756	13767827	+	0.000	0.000	85
BG1252	chr19	14242834	14373905	+	0.000	0.000	86
BG1256	chr19	20909692	21040763	+	0.000	0.000	87
BG1257	chr19	21212731	21343802	+	0.000	0.000	88
BG1258	chr19	21515770	21646841	+	0.000	0.000	89
BG1259	chr19	23637043	23768114	+	0.000	0.000	90
BG1267	chr19	37576837	37707908	+	0.000	0.000	91
BG1274	chr19	48183202	48314273	+	0.000	0.000	92
BG1280	chr19	53031826	53162897	+	0.000	0.000	93
BG1286	chr2	1	131072	+	0.000	0.000	94
BG1305	chr2	25751261	25882332	+	0.000	0.000	95
BG1314	chr2	32113337	32244408	+	0.000	0.000	96
BG1321	chr2	42413841	42544912	+	0.000	0.000	97
BG1335	chr2	55440949	55572020	+	0.000	0.000	98
BG1367	chr2	96340009	96471080	+	0.000	0.000	99
BG1381	chr2	108761205	108892276	+	0.000	0.000	100
BG1431	chr2	161475549	161606620	+	0.000	0.000	101
BG1451	chr2	179046997	179178068	+	0.000	0.000	102
BG1472	chr2	197527313	197658384	+	0.000	0.000	103
BG1496	chr2	218431277	218562348	+	0.000	0.000	104
BG1510	chr2	231458385	231589456	+	0.000	0.000	105
BG1561	chr20	30336301	30467372	+	0.000	0.000	106
BG1564	chr20	35796835	35927906	+	0.000	0.000	107
BG1565	chr20	37010287	37141358	+	0.000	0.000	108
BG1576	chr20	53391889	53522960	+	0.000	0.000	109
BG1577	chr20	53695252	53826323	+	0.000	0.000	110
BG1591	chr20	64312957	64444028	+	0.000	0.000	111
BG1631	chr22	17300470	17431541	+	0.000	0.000	112
BG1632	chr22	17603987	17735058	+	0.000	0.000	113
BG1639	chr22	24888395	25019466	+	0.000	0.000	114
BG1644	chr22	28530599	28661670	+	0.000	0.000	115
BG1671	chr3	17574175	17705246	+	0.000	0.000	116
BG1706	chr3	58782583	58913654	+	0.000	0.000	117
BG1773	chr3	136351351	136482422	+	0.000	0.000	118
BG1774	chr3	137866366	137997437	+	0.000	0.000	119
BG1775	chr3	142108408	142239479	+	0.000	0.000	120
BG1865	chr4	40623843	40754914	+	0.000	0.000	121
BG1866	chr4	41230169	41361240	+	0.000	0.000	122
BG1877	chr4	48809244	48940315	+	0.000	0.000	123
BG1878	chr4	52447200	52578271	+	0.000	0.000	124
BG1882	chr4	56691482	56822553	+	0.000	0.000	125
BG1896	chr4	72759121	72890192	+	0.000	0.000	126
BG1900	chr4	75184425	75315496	+	0.000	0.000	127
BG1911	chr4	83369826	83500897	+	0.000	0.000	128
BG1947	chr4	97921650	98052721	+	0.000	0.000	129
BG1948	chr4	99134302	99265373	+	0.000	0.000	130
BG1986	chr4	127631624	127762695	+	0.000	0.000	131
BG2061	chr5	16987937	17119008	+	0.000	0.000	132
BG2073	chr5	37312789	37443860	+	0.000	0.000	133
BG2089	chr5	53694013	53825084	+	0.000	0.000	134
BG2120	chr5	75232289	75363360	+	0.000	0.000	135
BG2127	chr5	80389341	80520412	+	0.000	0.000	136
BG2169	chr5	126499453	126630524	+	0.000	0.000	137
BG2175	chr5	131049793	131180864	+	0.000	0.000	138
BG2230	chr6	17279665	17410736	+	0.000	0.000	139
BG2231	chr6	17582817	17713888	+	0.000	0.000	140
BG2234	chr6	21523793	21654864	+	0.000	0.000	141
BG2244	chr6	27586833	27717904	+	0.000	0.000	142
BG2248	chr6	34256177	34387248	+	0.000	0.000	143
BG2249	chr6	35771937	35903008	+	0.000	0.000	144
BG2250	chr6	36378241	36509312	+	0.000	0.000	145
BG2284	chr6	58205185	58336256	+	0.000	0.000	146
BG2287	chr6	60933553	61064624	+	0.000	0.000	147
BG2293	chr6	63358769	63489840	+	0.000	0.000	148
BG2311	chr6	69421809	69552880	+	0.000	0.000	149
BG2321	chr6	73969089	74100160	+	0.000	0.000	150
BG2326	chr6	76091153	76222224	+	0.000	0.000	151
BG2345	chr6	85792017	85923088	+	0.000	0.000	152
BG2400	chr6	107922113	108053184	+	0.000	0.000	153
BG2405	chr6	110953633	111084704	+	0.000	0.000	154
BG2414	chr6	117622977	117754048	+	0.000	0.000	155
BG2585	chr7	56407477	56538548	+	0.000	0.000	156
BG2586	chr7	56710743	56841814	+	0.000	0.000	157
BG2587	chr7	57014009	57145080	+	0.000	0.000	158
BG2589	chr7	61866265	61997336	+	0.000	0.000	159
BG2591	chr7	63079329	63210400	+	0.000	0.000	160
BG2592	chr7	63382595	63513666	+	0.000	0.000	161
BG2593	chr7	63685861	63816932	+	0.000	0.000	162
BG2597	chr7	72783841	72914912	+	0.000	0.000	163
BG2598	chr7	73087107	73218178	+	0.000	0.000	164
BG2599	chr7	75209969	75341040	+	0.000	0.000	165
BG2600	chr7	75816501	75947572	+	0.000	0.000	166
BG2601	chr7	76119767	76250838	+	0.000	0.000	167
BG2624	chr7	91889599	92020670	+	0.000	0.000	168
BG2633	chr7	97954919	98085990	+	0.000	0.000	169
BG2637	chr7	99471249	99602320	+	0.000	0.000	170
BG2642	chr7	105233303	105364374	+	0.000	0.000	171
BG2680	chr7	137076233	137207304	+	0.000	0.000	172
BG2682	chr7	138289297	138420368	+	0.000	0.000	173
BG2758	chr8	53998615	54129686	+	0.000	0.000	174
BG2776	chr8	69773491	69904562	+	0.000	0.000	175
BG2783	chr8	80391196	80522267	+	0.000	0.000	176
BG2805	chr8	97682887	97813958	+	0.000	0.000	177
BG2808	chr8	98592976	98724047	+	0.000	0.000	178
BG2812	chr8	103750147	103881218	+	0.000	0.000	179
BG2826	chr8	119221660	119352731	+	0.000	0.000	180
BG2856	chr8	145007515	145138586	+	0.000	0.000	181
BG2914	chr9	75195833	75326904	+	0.000	0.000	182
BG2947	chr9	96723672	96854743	+	0.000	0.000	183
BG2950	chr9	100665389	100796460	+	0.000	0.000	184
BG3023	chrX	44545651	44676722	+	0.000	0.000	185
BG3030	chrX	50188100	50319171	+	0.000	0.000	186
BG3034	chrX	54345694	54476765	+	0.000	0.000	187
BG3035	chrX	56127520	56258591	+	0.000	0.000	188
BG3036	chrX	57909346	58040417	+	0.000	0.000	189
BG3037	chrX	63551795	63682866	+	0.000	0.000	190
BG3046	chrX	75133664	75264735	+	0.000	0.000	191
BG3047	chrX	75430635	75561706	+	0.000	0.000	192
BG3048	chrX	75727606	75858677	+	0.000	0.000	193
BG3049	chrX	76321548	76452619	+	0.000	0.000	194
BG3050	chrX	77509432	77640503	+	0.000	0.000	195
BG3051	chrX	78994287	79125358	+	0.000	0.000	196
BG3053	chrX	81073084	81204155	+	0.000	0.000	197
BG3064	chrX	104533793	104664864	+	0.000	0.000	198
BG3087	chrX	134230893	134361964	+	0.000	0.000	199
BG3091	chrX	136903632	137034703	+	0.000	0.000	200
