#Name (cmd = mergePeaks /workspace/gene_expression_predictions/results/homer_sae/enformer_late_blood/bg.clean.pos /workspace/gene_expression_predictions/results/homer_sae/enformer_late_blood/target.clean..pos -d 200 -cobound 1 -prefix /workspace/gene_expression_predictions/results/homer_sae/enformer_late_blood/0.928006305665807.2.tmp)	chr	start	end	strand	stat	stat2	/workspace/gene_expression_predictions/results/homer_sae/enformer_late_blood/target.clean..pos
BG1012	chr16	33903297	34034368	+	0.000	0.000	54
BG1015	chr16	35719545	35850616	+	0.000	0.000	55
BG1062	chr16	68109301	68240372	+	0.000	0.000	56
BG1063	chr16	69925549	70056620	+	0.000	0.000	57
BG1067	chr16	72952629	73083700	+	0.000	0.000	58
BG1091	chr16	86271781	86402852	+	0.000	0.000	59
BG1092	chr16	89298861	89429932	+	0.000	0.000	60
BG1093	chr17	606761	737832	+	0.000	0.000	61
BG1094	chr17	910141	1041212	+	0.000	0.000	62
BG1095	chr17	2123661	2254732	+	0.000	0.000	63
BG1096	chr17	2427041	2558112	+	0.000	0.000	64
BG1099	chr17	6674361	6805432	+	0.000	0.000	65
BG1101	chr17	9101401	9232472	+	0.000	0.000	66
BG1104	chr17	10011541	10142612	+	0.000	0.000	67
BG1124	chr17	30641381	30772452	+	0.000	0.000	68
BG1126	chr17	32158281	32289352	+	0.000	0.000	69
BG1130	chr17	35192081	35323152	+	0.000	0.000	70
BG1161	chr17	77665281	77796352	+	0.000	0.000	71
BG1163	chr17	79182181	79313252	+	0.000	0.000	72
BG1164	chr17	80395701	80526772	+	0.000	0.000	73
BG1165	chr17	82519361	82650432	+	0.000	0.000	74
BG1166	chr17	83126121	83257192	+	0.000	0.000	75
BG1235	chr18	79333601	79464672	+	0.000	0.000	76
BG1236	chr19	303040	434111	+	0.000	0.000	77
BG1237	chr19	909118	1040189	+	0.000	0.000	78
BG1238	chr19	3333430	3464501	+	0.000	0.000	79
BG1239	chr19	4242547	4373618	+	0.000	0.000	80
BG1240	chr19	5151664	5282735	+	0.000	0.000	81
BG1241	chr19	8182054	8313125	+	0.000	0.000	82
BG1242	chr19	9091171	9222242	+	0.000	0.000	83
BG1243	chr19	9394210	9525281	+	0.000	0.000	84
BG1244	chr19	9697249	9828320	+	0.000	0.000	85
BG1245	chr19	10606366	10737437	+	0.000	0.000	86
BG1246	chr19	11515483	11646554	+	0.000	0.000	87
BG1247	chr19	11818522	11949593	+	0.000	0.000	88
BG1248	chr19	12121561	12252632	+	0.000	0.000	89
BG1249	chr19	12424600	12555671	+	0.000	0.000	90
BG1251	chr19	13636756	13767827	+	0.000	0.000	91
BG1252	chr19	14242834	14373905	+	0.000	0.000	92
BG1253	chr19	16970185	17101256	+	0.000	0.000	93
BG1254	chr19	18485380	18616451	+	0.000	0.000	94
BG1255	chr19	19697536	19828607	+	0.000	0.000	95
BG1256	chr19	20909692	21040763	+	0.000	0.000	96
BG1257	chr19	21212731	21343802	+	0.000	0.000	97
BG1259	chr19	23637043	23768114	+	0.000	0.000	98
BG1267	chr19	37576837	37707908	+	0.000	0.000	99
BG1274	chr19	48183202	48314273	+	0.000	0.000	100
BG1277	chr19	52122709	52253780	+	0.000	0.000	101
BG1278	chr19	52425748	52556819	+	0.000	0.000	102
BG1279	chr19	52728787	52859858	+	0.000	0.000	103
BG1280	chr19	53031826	53162897	+	0.000	0.000	104
BG1281	chr19	53334865	53465936	+	0.000	0.000	105
BG1282	chr19	54243982	54375053	+	0.000	0.000	106
BG1284	chr19	57274372	57405443	+	0.000	0.000	107
BG1285	chr19	57880450	58011521	+	0.000	0.000	108
BG1286	chr2	1	131072	+	0.000	0.000	109
BG1366	chr2	95128185	95259256	+	0.000	0.000	110
BG1497	chr2	218734233	218865304	+	0.000	0.000	111
BG1510	chr2	231458385	231589456	+	0.000	0.000	112
BG1511	chr2	232367253	232498324	+	0.000	0.000	113
BG1521	chr2	240850021	240981092	+	0.000	0.000	114
BG1522	chr2	241152977	241284048	+	0.000	0.000	115
BG1523	chr2	241758889	241889960	+	0.000	0.000	116
BG1560	chr20	29729575	29860646	+	0.000	0.000	117
BG1561	chr20	30336301	30467372	+	0.000	0.000	118
BG1587	chr20	61886053	62017124	+	0.000	0.000	119
BG1588	chr20	62492779	62623850	+	0.000	0.000	120
BG1589	chr20	63099505	63230576	+	0.000	0.000	121
BG1590	chr20	63402868	63533939	+	0.000	0.000	122
BG1591	chr20	64312957	64444028	+	0.000	0.000	123
BG1615	chr21	36597661	36728732	+	0.000	0.000	124
BG1624	chr21	42646861	42777932	+	0.000	0.000	125
BG1625	chr21	42949321	43080392	+	0.000	0.000	126
BG1626	chr21	44159161	44290232	+	0.000	0.000	127
BG1627	chr21	44461621	44592692	+	0.000	0.000	128
BG1628	chr21	45973921	46104992	+	0.000	0.000	129
BG1629	chr21	46276381	46407452	+	0.000	0.000	130
BG1631	chr22	17300470	17431541	+	0.000	0.000	131
BG1632	chr22	17603987	17735058	+	0.000	0.000	132
BG1647	chr22	35511490	35642561	+	0.000	0.000	133
BG1649	chr22	37332592	37463663	+	0.000	0.000	134
BG1651	chr22	42795898	42926969	+	0.000	0.000	135
BG1652	chr22	44313483	44444554	+	0.000	0.000	136
BG1653	chr22	44920517	45051588	+	0.000	0.000	137
BG1654	chr22	45527551	45658622	+	0.000	0.000	138
BG1655	chr22	45831068	45962139	+	0.000	0.000	139
BG1657	chr22	48562721	48693792	+	0.000	0.000	140
BG1696	chr3	44541442	44672513	+	0.000	0.000	141
BG1766	chr3	128776276	128907347	+	0.000	0.000	142
BG1830	chr4	3637957	3769028	+	0.000	0.000	143
BG1835	chr4	7275913	7406984	+	0.000	0.000	144
BG2042	chr5	910069	1041140	+	0.000	0.000	145
BG2043	chr5	1820137	1951208	+	0.000	0.000	146
BG2051	chr5	10314105	10445176	+	0.000	0.000	147
BG2073	chr5	37312789	37443860	+	0.000	0.000	148
BG2184	chr5	140757185	140888256	+	0.000	0.000	149
BG2185	chr5	141060541	141191612	+	0.000	0.000	150
BG2186	chr5	141363897	141494968	+	0.000	0.000	151
BG2214	chr5	176856549	176987620	+	0.000	0.000	152
BG2217	chr5	178676685	178807756	+	0.000	0.000	153
BG2218	chr5	179283397	179414468	+	0.000	0.000	154
BG2220	chr6	1515761	1646832	+	0.000	0.000	155
BG2231	chr6	17582817	17713888	+	0.000	0.000	156
BG2249	chr6	35771937	35903008	+	0.000	0.000	157
BG2560	chr7	45793167	45924238	+	0.000	0.000	158
BG2585	chr7	56407477	56538548	+	0.000	0.000	159
BG2586	chr7	56710743	56841814	+	0.000	0.000	160
BG2589	chr7	61866265	61997336	+	0.000	0.000	161
BG2590	chr7	62776063	62907134	+	0.000	0.000	162
BG2593	chr7	63685861	63816932	+	0.000	0.000	163
BG2594	chr7	63989127	64120198	+	0.000	0.000	164
BG2597	chr7	72783841	72914912	+	0.000	0.000	165
BG2598	chr7	73087107	73218178	+	0.000	0.000	166
BG2599	chr7	75209969	75341040	+	0.000	0.000	167
BG2600	chr7	75816501	75947572	+	0.000	0.000	168
BG2601	chr7	76119767	76250838	+	0.000	0.000	169
BG2633	chr7	97954919	98085990	+	0.000	0.000	170
BG2634	chr7	98561451	98692522	+	0.000	0.000	171
BG2635	chr7	98864717	98995788	+	0.000	0.000	172
BG2637	chr7	99471249	99602320	+	0.000	0.000	173
BG2672	chr7	128888051	129019122	+	0.000	0.000	174
BG2695	chr7	151329735	151460806	+	0.000	0.000	175
BG2700	chr7	157698321	157829392	+	0.000	0.000	176
BG2703	chr8	606727	737798	+	0.000	0.000	177
BG2704	chr8	1516816	1647887	+	0.000	0.000	178
BG2739	chr8	30336301	30467372	+	0.000	0.000	179
BG2758	chr8	53998615	54129686	+	0.000	0.000	180
BG2805	chr8	97682887	97813958	+	0.000	0.000	181
BG2851	chr8	141670522	141801593	+	0.000	0.000	182
BG2852	chr8	141973885	142104956	+	0.000	0.000	183
BG2854	chr8	143187337	143318408	+	0.000	0.000	184
BG2855	chr8	144704152	144835223	+	0.000	0.000	185
BG2856	chr8	145007515	145138586	+	0.000	0.000	186
BG2857	chr9	1	131072	+	0.000	0.000	187
BG2923	chr9	81563222	81694293	+	0.000	0.000	188
BG2934	chr9	89446656	89577727	+	0.000	0.000	189
BG2947	chr9	96723672	96854743	+	0.000	0.000	190
BG2983	chr9	121586810	121717881	+	0.000	0.000	191
BG2989	chr9	130379871	130510942	+	0.000	0.000	192
BG2992	chr9	134624797	134755868	+	0.000	0.000	193
BG2993	chr9	134928006	135059077	+	0.000	0.000	194
BG2994	chr9	135231215	135362286	+	0.000	0.000	195
BG2995	chr9	135534424	135665495	+	0.000	0.000	196
BG2996	chr9	137353678	137484749	+	0.000	0.000	197
BG2997	chr9	137960096	138091167	+	0.000	0.000	198
BG3030	chrX	50188100	50319171	+	0.000	0.000	199
BG3034	chrX	54345694	54476765	+	0.000	0.000	200
BG1	chr1	3030751	3161822	+	0.000	0.000	1
BG2	chr1	3333826	3464897	+	0.000	0.000	2
BG3	chr1	5758426	5889497	+	0.000	0.000	3
