#Name (cmd = mergePeaks /workspace/gene_expression_predictions/results/homer_sae/nucleotide_transformer_early_blood/bg.clean.pos /workspace/gene_expression_predictions/results/homer_sae/nucleotide_transformer_early_blood/target.clean..pos -d 200 -cobound 1 -prefix /workspace/gene_expression_predictions/results/homer_sae/nucleotide_transformer_early_blood/0.498120332443253.2.tmp)	chr	start	end	strand	stat	stat2	/workspace/gene_expression_predictions/results/homer_sae/nucleotide_transformer_early_blood/target.clean..pos
BG872	chr14	71476849	71607920	+	0.000	0.000	44
BG874	chr14	73294057	73425128	+	0.000	0.000	45
BG876	chr14	76019869	76150940	+	0.000	0.000	46
BG895	chr14	92071873	92202944	+	0.000	0.000	47
BG908	chr14	102672253	102803324	+	0.000	0.000	48
BG925	chr15	33953361	34084432	+	0.000	0.000	49
BG936	chr15	50930041	51061112	+	0.000	0.000	50
BG989	chr16	10292073	10423144	+	0.000	0.000	51
BG992	chr16	14832693	14963764	+	0.000	0.000	52
BG998	chr16	18465189	18596260	+	0.000	0.000	53
BG1004	chr16	23611225	23742296	+	0.000	0.000	54
BG1062	chr16	68109301	68240372	+	0.000	0.000	55
BG1094	chr17	910141	1041212	+	0.000	0.000	56
BG1096	chr17	2427041	2558112	+	0.000	0.000	57
BG1100	chr17	8798021	8929092	+	0.000	0.000	58
BG1103	chr17	9708161	9839232	+	0.000	0.000	59
BG1106	chr17	10618301	10749372	+	0.000	0.000	60
BG1124	chr17	30641381	30772452	+	0.000	0.000	61
BG1145	chr17	60676001	60807072	+	0.000	0.000	62
BG1147	chr17	62496281	62627352	+	0.000	0.000	63
BG1162	chr17	78575421	78706492	+	0.000	0.000	64
BG1163	chr17	79182181	79313252	+	0.000	0.000	65
BG1165	chr17	82519361	82650432	+	0.000	0.000	66
BG1175	chr18	12112001	12243072	+	0.000	0.000	67
BG1192	chr18	32096801	32227872	+	0.000	0.000	68
BG1236	chr19	303040	434111	+	0.000	0.000	69
BG1237	chr19	909118	1040189	+	0.000	0.000	70
BG1238	chr19	3333430	3464501	+	0.000	0.000	71
BG1239	chr19	4242547	4373618	+	0.000	0.000	72
BG1241	chr19	8182054	8313125	+	0.000	0.000	73
BG1245	chr19	10606366	10737437	+	0.000	0.000	74
BG1246	chr19	11515483	11646554	+	0.000	0.000	75
BG1251	chr19	13636756	13767827	+	0.000	0.000	76
BG1252	chr19	14242834	14373905	+	0.000	0.000	77
BG1253	chr19	16970185	17101256	+	0.000	0.000	78
BG1255	chr19	19697536	19828607	+	0.000	0.000	79
BG1258	chr19	21515770	21646841	+	0.000	0.000	80
BG1259	chr19	23637043	23768114	+	0.000	0.000	81
BG1260	chr19	23940082	24071153	+	0.000	0.000	82
BG1266	chr19	36970759	37101830	+	0.000	0.000	83
BG1278	chr19	52425748	52556819	+	0.000	0.000	84
BG1279	chr19	52728787	52859858	+	0.000	0.000	85
BG1280	chr19	53031826	53162897	+	0.000	0.000	86
BG1281	chr19	53334865	53465936	+	0.000	0.000	87
BG1282	chr19	54243982	54375053	+	0.000	0.000	88
BG1284	chr19	57274372	57405443	+	0.000	0.000	89
BG1286	chr2	1	131072	+	0.000	0.000	90
BG1305	chr2	25751261	25882332	+	0.000	0.000	91
BG1314	chr2	32113337	32244408	+	0.000	0.000	92
BG1335	chr2	55440949	55572020	+	0.000	0.000	93
BG1345	chr2	61197113	61328184	+	0.000	0.000	94
BG1349	chr2	66347365	66478436	+	0.000	0.000	95
BG1372	chr2	100581393	100712464	+	0.000	0.000	96
BG1397	chr2	134209509	134340580	+	0.000	0.000	97
BG1472	chr2	197527313	197658384	+	0.000	0.000	98
BG1474	chr2	200556873	200687944	+	0.000	0.000	99
BG1478	chr2	203586433	203717504	+	0.000	0.000	100
BG1512	chr2	233579077	233710148	+	0.000	0.000	101
BG1526	chr20	4247083	4378154	+	0.000	0.000	102
BG1545	chr20	13651336	13782407	+	0.000	0.000	103
BG1559	chr20	29426212	29557283	+	0.000	0.000	104
BG1560	chr20	29729575	29860646	+	0.000	0.000	105
BG1564	chr20	35796835	35927906	+	0.000	0.000	106
BG1565	chr20	37010287	37141358	+	0.000	0.000	107
BG1577	chr20	53695252	53826323	+	0.000	0.000	108
BG1589	chr20	63099505	63230576	+	0.000	0.000	109
BG1628	chr21	45973921	46104992	+	0.000	0.000	110
BG1629	chr21	46276381	46407452	+	0.000	0.000	111
BG1632	chr22	17603987	17735058	+	0.000	0.000	112
BG1635	chr22	22460259	22591330	+	0.000	0.000	113
BG1639	chr22	24888395	25019466	+	0.000	0.000	114
BG1649	chr22	37332592	37463663	+	0.000	0.000	115
BG1669	chr3	16968169	17099240	+	0.000	0.000	116
BG1698	chr3	45450451	45581522	+	0.000	0.000	117
BG1705	chr3	57873574	58004645	+	0.000	0.000	118
BG1731	chr3	85446847	85577918	+	0.000	0.000	119
BG1744	chr3	107566066	107697137	+	0.000	0.000	120
BG1766	chr3	128776276	128907347	+	0.000	0.000	121
BG1775	chr3	142108408	142239479	+	0.000	0.000	122
BG1786	chr3	150592492	150723563	+	0.000	0.000	123
BG1797	chr3	165136636	165267707	+	0.000	0.000	124
BG1798	chr3	167257657	167388728	+	0.000	0.000	125
BG1822	chr3	190285885	190416956	+	0.000	0.000	126
BG1825	chr3	192406906	192537977	+	0.000	0.000	127
BG1828	chr4	2122142	2253213	+	0.000	0.000	128
BG1868	chr4	42139658	42270729	+	0.000	0.000	129
BG1883	chr4	56994645	57125716	+	0.000	0.000	130
BG1901	chr4	75790751	75921822	+	0.000	0.000	131
BG1928	chr4	91858390	91989461	+	0.000	0.000	132
BG1949	chr4	100043791	100174862	+	0.000	0.000	133
BG1962	chr4	108835518	108966589	+	0.000	0.000	134
BG1965	chr4	112776637	112907708	+	0.000	0.000	135
BG2067	chr5	31852381	31983452	+	0.000	0.000	136
BG2068	chr5	32762449	32893520	+	0.000	0.000	137
BG2073	chr5	37312789	37443860	+	0.000	0.000	138
BG2084	chr5	50963809	51094880	+	0.000	0.000	139
BG2116	chr5	71592017	71723088	+	0.000	0.000	140
BG2151	chr5	107691381	107822452	+	0.000	0.000	141
BG2163	chr5	122859181	122990252	+	0.000	0.000	142
BG2170	chr5	127106165	127237236	+	0.000	0.000	143
BG2176	chr5	131353149	131484220	+	0.000	0.000	144
BG2183	chr5	137420269	137551340	+	0.000	0.000	145
BG2206	chr5	163508885	163639956	+	0.000	0.000	146
BG2230	chr6	17279665	17410736	+	0.000	0.000	147
BG2233	chr6	20614337	20745408	+	0.000	0.000	148
BG2248	chr6	34256177	34387248	+	0.000	0.000	149
BG2260	chr6	46685409	46816480	+	0.000	0.000	150
BG2286	chr6	60630401	60761472	+	0.000	0.000	151
BG2292	chr6	63055617	63186688	+	0.000	0.000	152
BG2351	chr6	88520385	88651456	+	0.000	0.000	153
BG2400	chr6	107922113	108053184	+	0.000	0.000	154
BG2405	chr6	110953633	111084704	+	0.000	0.000	155
BG2431	chr6	132780577	132911648	+	0.000	0.000	156
BG2456	chr6	152182305	152313376	+	0.000	0.000	157
BG2477	chr7	3032661	3163732	+	0.000	0.000	158
BG2486	chr7	9401247	9532318	+	0.000	0.000	159
BG2510	chr7	19105759	19236830	+	0.000	0.000	160
BG2548	chr7	40334379	40465450	+	0.000	0.000	161
BG2586	chr7	56710743	56841814	+	0.000	0.000	162
BG2589	chr7	61866265	61997336	+	0.000	0.000	163
BG2590	chr7	62776063	62907134	+	0.000	0.000	164
BG2597	chr7	72783841	72914912	+	0.000	0.000	165
BG2598	chr7	73087107	73218178	+	0.000	0.000	166
BG2599	chr7	75209969	75341040	+	0.000	0.000	167
BG2600	chr7	75816501	75947572	+	0.000	0.000	168
BG2610	chr7	82488353	82619424	+	0.000	0.000	169
BG2620	chr7	88553673	88684744	+	0.000	0.000	170
BG2630	chr7	95832057	95963128	+	0.000	0.000	171
BG2633	chr7	97954919	98085990	+	0.000	0.000	172
BG2635	chr7	98864717	98995788	+	0.000	0.000	173
BG2637	chr7	99471249	99602320	+	0.000	0.000	174
BG2644	chr7	107962697	108093768	+	0.000	0.000	175
BG2671	chr7	128584785	128715856	+	0.000	0.000	176
BG2682	chr7	138289297	138420368	+	0.000	0.000	177
BG2697	chr7	154059129	154190200	+	0.000	0.000	178
BG2702	chr8	303364	434435	+	0.000	0.000	179
BG2739	chr8	30336301	30467372	+	0.000	0.000	180
BG2757	chr8	53695252	53826323	+	0.000	0.000	181
BG2764	chr8	59459149	59590220	+	0.000	0.000	182
BG2805	chr8	97682887	97813958	+	0.000	0.000	183
BG2806	chr8	97986250	98117321	+	0.000	0.000	184
BG2812	chr8	103750147	103881218	+	0.000	0.000	185
BG2857	chr9	1	131072	+	0.000	0.000	186
BG2893	chr9	25166348	25297419	+	0.000	0.000	187
BG2897	chr9	26985602	27116673	+	0.000	0.000	188
BG2907	chr9	69434862	69565933	+	0.000	0.000	189
BG2917	chr9	77015087	77146158	+	0.000	0.000	190
BG2938	chr9	90659492	90790563	+	0.000	0.000	191
BG2942	chr9	92781955	92913026	+	0.000	0.000	192
BG2968	chr9	112187331	112318402	+	0.000	0.000	193
BG2990	chr9	131895916	132026987	+	0.000	0.000	194
BG2997	chr9	137960096	138091167	+	0.000	0.000	195
BG3025	chrX	45733535	45864606	+	0.000	0.000	196
BG3028	chrX	46921419	47052490	+	0.000	0.000	197
BG3044	chrX	71570012	71701083	+	0.000	0.000	198
BG3045	chrX	74242751	74373822	+	0.000	0.000	199
BG3091	chrX	136903632	137034703	+	0.000	0.000	200
BG6	chr1	13941451	14072522	+	0.000	0.000	1
BG9	chr1	15153751	15284822	+	0.000	0.000	2
